condition,feature,llm_copying,pairwise_mean_win_count,pairwise_mean_win_pct,pairwise_allruns_win_count,pairwise_allruns_win_pct,n_pairs,n_runs,own_mean_kl
v1_flash,f1,jane_austen,2,0.666667,1,0.333333,3,10,0.119920
v1_flash,f3,jane_austen,3,1.000000,1,0.333333,3,10,0.262688
v1_flash,f1,william_shakespeare,3,1.000000,3,1.000000,3,10,0.094016
v1_flash,f3,william_shakespeare,3,1.000000,2,0.666667,3,10,0.201035
v1_flash,f1,herbert_george_wells,1,0.333333,0,0.000000,3,10,0.138930
v1_flash,f3,herbert_george_wells,1,0.333333,0,0.000000,3,10,0.282576
v1_flash,f1,agnes_may_fleming,1,0.333333,1,0.333333,3,10,0.147197
v1_flash,f3,agnes_may_fleming,3,1.000000,1,0.333333,3,10,0.279299
v1_pro,f1,jane_austen,2,0.666667,1,0.333333,3,10,0.086889
v1_pro,f3,jane_austen,2,0.666667,1,0.333333,3,10,0.193450
v1_pro,f1,william_shakespeare,3,1.000000,2,0.666667,3,10,0.092073
v1_pro,f3,william_shakespeare,3,1.000000,2,0.666667,3,10,0.182012
v1_pro,f1,herbert_george_wells,2,0.666667,1,0.333333,3,10,0.098457
v1_pro,f3,herbert_george_wells,2,0.666667,1,0.333333,3,10,0.212279
v1_pro,f1,agnes_may_fleming,0,0.000000,0,0.000000,3,10,0.283184
v1_pro,f3,agnes_may_fleming,0,0.000000,0,0.000000,3,10,0.716706
v2_flash,f1,jane_austen,2,0.666667,2,0.666667,3,10,0.115045
v2_flash,f3,jane_austen,2,0.666667,2,0.666667,3,10,0.272345
v2_flash,f1,william_shakespeare,3,1.000000,2,0.666667,3,8,0.396388
v2_flash,f3,william_shakespeare,3,1.000000,3,1.000000,3,8,0.768313
v2_flash,f1,herbert_george_wells,2,0.666667,1,0.333333,3,10,0.286908
v2_flash,f3,herbert_george_wells,2,0.666667,1,0.333333,3,10,0.653817
v2_flash,f1,agnes_may_fleming,3,1.000000,2,0.666667,3,10,0.160635
v2_flash,f3,agnes_may_fleming,3,1.000000,2,0.666667,3,10,0.288661
v3_flash,f1,jane_austen,1,0.333333,1,0.333333,3,10,0.148867
v3_flash,f3,jane_austen,2,0.666667,2,0.666667,3,10,0.314207
v3_flash,f1,william_shakespeare,3,1.000000,3,1.000000,3,9,0.122306
v3_flash,f3,william_shakespeare,3,1.000000,3,1.000000,3,9,0.297382
v3_flash,f1,herbert_george_wells,0,0.000000,0,0.000000,3,10,0.408816
v3_flash,f3,herbert_george_wells,0,0.000000,0,0.000000,3,10,0.825682
v3_flash,f1,agnes_may_fleming,2,0.666667,1,0.333333,3,10,0.202524
v3_flash,f3,agnes_may_fleming,3,1.000000,2,0.666667,3,10,0.339974
