row_type,condition,author_set,feature,window_size,window_index,n_runs,n_authors,mean_target_kl,median_target_kl,mean_target_margin,mean_target_rank,target_hit_rate,prediction_entropy_normalized,most_predicted_author,most_predicted_share,cross_target_mean_sym_kl,n_cross_target_pairs,first_window,last_window,mean_delta_target_kl,mean_delta_target_margin,mean_delta_target_rank,target_hit_change_percentage_points,mean_per_window_slope_target_kl,mean_per_window_slope_target_margin,prediction_entropy_change,cross_target_sym_kl_change_pct,first_most_predicted_author,first_most_predicted_share,last_most_predicted_author,last_most_predicted_share,author_wilcoxon_p_target_kl_increase,author_wilcoxon_p_target_margin_decrease,author_wilcoxon_p_target_rank_worsen,author_wilcoxon_p_target_hit_decrease
position,flash,all_authors,f1,1000,1,400,20,0.11401610537952742,0.10203048170438977,-0.06553912187669544,8.455,0.1075,0.6430795040321405,oscar_wilde,0.35,0.09193147761030036,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,2,400,20,0.14734021525364796,0.12750200237674522,-0.09497837707464223,9.56,0.0775,0.5431550978806221,oscar_wilde,0.355,0.07390632465655089,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,3,400,20,0.1585931479101672,0.1309542686856086,-0.10430454099079997,9.875,0.0825,0.5348382333796176,oscar_wilde,0.3175,0.0800465285330754,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,4,400,20,0.15603777665166393,0.1310570449742488,-0.10322124393134693,9.8975,0.0825,0.5467209929983369,oscar_wilde,0.3125,0.07772690912041184,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,5,400,20,0.16672848187244654,0.1382321559614052,-0.11040162507808064,10.19,0.075,0.5531484513605143,joseph_conrad,0.3225,0.08371675090921292,76000,,,,,,,,,,,,,,,,,,
first_vs_last,flash,all_authors,f1,1000,,400,20,,,,,,,,,,,1,5,0.05271237649291913,-0.04486250320138519,1.735,-3.25,0.01141223143838542,-0.009796787325947506,-0.08993105267162627,-8.935706152695444,oscar_wilde,0.35,joseph_conrad,0.3225,0.00035381317138671875,0.00013065338134765625,0.004216183024291583,0.05989746521295913
position,flash,all_authors,f3,1000,1,400,20,0.2333357238886461,0.212072472577759,-0.12025583541311426,8.7775,0.125,0.6979983912349161,herbert_george_wells,0.24,0.18531633923051766,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f3,1000,2,400,20,0.28790568243764997,0.2469011803799026,-0.17232305877909343,9.71,0.0925,0.540537039794139,herbert_george_wells,0.4375,0.16004837343144657,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f3,1000,3,400,20,0.31172984332813397,0.2646820109933811,-0.1916187158690964,10.0075,0.0975,0.5217252428949787,herbert_george_wells,0.4275,0.17168850102579677,76000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f3,1000,4,400,20,0.30864922400752587,0.24810230824921936,-0.18981193968429116,9.9575,0.09,0.524238364737589,herbert_george_wells,0.41,0.17385823726116117,76000,,,,,,,,,,,,,,,,,,
