chunk_size,condition,policy,feature,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater,skipped
1000,flash,pooled_all_books,f1,1003,400,33.673592067096465,222.69890333143164,0.942173479561316,152.43812467217833,0.705,4.0135926563962004e-148,0
1000,flash,pooled_all_books,f3,1003,400,84.90150624842623,309.37203382119344,0.9549451645064806,206.53186579873523,0.765,1.147322979384901e-156,0
1000,flash,leave_one_book_out,f1,1003,400,45.03200896199131,228.486006482879,0.8987786640079761,240.6949733217334,0.4725,6.6255765928257476e-121,0
1000,flash,leave_one_book_out,f3,1003,400,108.02631582550067,316.2141062822671,0.9058449651046859,308.04326470657713,0.53,3.8018250538335445e-125,0
1000,pro,pooled_all_books,f1,1003,200,33.673592067096465,175.6790680408788,0.8995712861415752,152.43812467217833,0.56,1.0793936545321878e-71,0
1000,pro,pooled_all_books,f3,1003,200,84.90150624842623,239.12522689500423,0.921136590229312,206.53186579873523,0.605,2.1212286471997696e-79,0
1000,pro,leave_one_book_out,f1,1003,200,45.03200896199131,195.63132447156235,0.8475423728813559,240.6949733217334,0.34,9.317482689046494e-55,0
1000,pro,leave_one_book_out,f3,1003,200,108.02631582550067,259.2831926947433,0.8564307078763709,308.04326470657713,0.39,1.7453999179223044e-57,0
2000,flash,pooled_all_books,f1,485,400,44.485048880256045,535.6009586822549,0.9817783505154639,219.83219417421023,0.9,5.962312973394525e-135,0
2000,flash,pooled_all_books,f3,485,400,107.02465218426403,669.058920798856,0.9891494845360824,291.82050771775556,0.9625,4.8465858809445854e-139,0
2000,flash,leave_one_book_out,f1,485,400,68.07739182967535,540.1647582390356,0.9504845360824742,365.9213094491351,0.735,2.818562433280539e-118,0
2000,flash,leave_one_book_out,f3,485,400,151.76696307464994,676.448084163,0.955360824742268,470.292088245883,0.755,8.416151747740894e-121,0
2000,pro,pooled_all_books,f1,485,200,44.485048880256045,460.241004729703,0.9672577319587629,219.83219417421023,0.83,7.459130488475141e-83,0
2000,pro,pooled_all_books,f3,485,200,107.02465218426403,585.3940208738073,0.9762577319587629,291.82050771775556,0.87,5.441295906186938e-86,0
2000,pro,leave_one_book_out,f1,485,200,68.07739182967535,469.9473226287039,0.9290618556701031,365.9213094491351,0.675,3.3392393577684656e-70,0
2000,pro,leave_one_book_out,f3,485,200,151.76696307464994,587.3401863324136,0.9354845360824742,470.292088245883,0.695,2.960350521670793e-72,0
4000,flash,pooled_all_books,f1,225,400,58.95997054480319,1124.5369701959225,0.9927555555555555,315.87412922184836,0.9775,2.1254738158508155e-93,0
4000,flash,pooled_all_books,f3,225,400,139.1654489461731,1338.4522427505246,0.9967222222222222,433.695150223576,0.9925,7.138492160714456e-95,0
4000,flash,leave_one_book_out,f1,225,400,106.04829098688151,1137.4600874137031,0.9677333333333333,644.3884740639352,0.84,2.257314920599618e-84,0
4000,flash,leave_one_book_out,f3,225,400,227.48035709166572,1357.9804919431162,0.9737333333333333,783.6107712951841,0.8725,1.7056672449963306e-86,0
4000,pro,pooled_all_books,f1,225,200,58.95997054480319,1164.4872392531431,0.9889333333333333,315.87412922184836,0.925,3.630345378180486e-68,0
4000,pro,pooled_all_books,f3,225,200,139.1654489461731,1402.2378535478856,0.9930444444444444,433.695150223576,0.96,2.7870309733360326e-69,0
4000,pro,leave_one_book_out,f1,225,200,106.04829098688151,1200.2590385424908,0.9615555555555556,644.3884740639352,0.83,5.5904828078939857e-61,0
4000,pro,leave_one_book_out,f3,225,200,227.48035709166572,1453.6393664290208,0.9656444444444444,783.6107712951841,0.865,5.013164206501967e-62,0
