chunk_size,condition,policy,feature,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater,skipped
1000,flash,pooled_all_books,f1,1003,400,33.673592067096465,255.70266316656375,0.9528364905284148,152.43812467217833,0.7425,3.0693009864950533e-155,0
1000,flash,pooled_all_books,f3,1003,400,84.90150624842623,351.91021395967255,0.9689531405782652,206.53186579873523,0.815,2.569589200032832e-166,0
1000,flash,leave_one_book_out,f1,1003,400,45.03200896199131,252.40880192063457,0.911672482552343,240.6949733217334,0.535,1.0627572421337339e-128,0
1000,flash,leave_one_book_out,f3,1003,400,108.02631582550067,356.93571275805914,0.9237886340977068,308.04326470657713,0.585,2.9958665136794435e-136,0
1000,pro,pooled_all_books,f1,1003,200,33.673592067096465,123.28020727737484,0.8226719840478565,152.43812467217833,0.33,1.729174341874967e-47,0
1000,pro,pooled_all_books,f3,1003,200,84.90150624842623,184.74980642493063,0.8516500498504487,206.53186579873523,0.415,5.216047290810283e-56,0
1000,pro,leave_one_book_out,f1,1003,200,45.03200896199131,128.85348469197515,0.7656480558325025,240.6949733217334,0.165,7.695144051318035e-33,0
1000,pro,leave_one_book_out,f3,1003,200,108.02631582550067,215.26842311124574,0.7788035892323031,308.04326470657713,0.195,5.7003895533390073e-36,0
2000,flash,pooled_all_books,f1,485,400,44.485048880256045,575.8654872589915,0.9829072164948454,219.83219417421023,0.925,1.422530220767354e-135,0
2000,flash,pooled_all_books,f3,485,400,107.02465218426403,703.7770995574836,0.992020618556701,291.82050771775556,0.9775,1.1901298413472585e-140,0
2000,flash,leave_one_book_out,f1,485,400,68.07739182967535,564.7028615812719,0.9519896907216495,365.9213094491351,0.7475,4.7158180720670613e-119,0
2000,flash,leave_one_book_out,f3,485,400,151.76696307464994,698.0496600855445,0.9618969072164949,470.292088245883,0.8125,3.1498171975300377e-124,0
2000,pro,pooled_all_books,f1,485,200,44.485048880256045,244.1796211725761,0.8842680412371134,219.83219417421023,0.615,9.876305174568236e-57,0
2000,pro,pooled_all_books,f3,485,200,107.02465218426403,362.5185581661483,0.9243092783505155,291.82050771775556,0.635,1.0538509688982641e-68,0
2000,pro,leave_one_book_out,f1,485,200,68.07739182967535,279.40973571322104,0.8177113402061855,365.9213094491351,0.295,1.953690666348054e-39,0
2000,pro,leave_one_book_out,f3,485,200,151.76696307464994,407.33806451548,0.8454742268041238,470.292088245883,0.385,2.9580482393870683e-46,0
4000,flash,pooled_all_books,f1,225,400,58.95997054480319,1158.67527189466,0.9933888888888889,315.87412922184836,0.98,1.2385807464297073e-93,0
4000,flash,pooled_all_books,f3,225,400,139.1654489461731,1340.5770840598263,0.9975333333333334,433.695150223576,0.9975,3.5545343245970845e-95,0
4000,flash,leave_one_book_out,f1,225,400,106.04829098688151,1133.918331574449,0.9686333333333333,644.3884740639352,0.8325,1.089061963399762e-84,0
4000,flash,leave_one_book_out,f3,225,400,227.48035709166572,1345.6902636555433,0.9776555555555556,783.6107712951841,0.9075,6.766906721179411e-88,0
4000,pro,pooled_all_books,f1,225,200,58.95997054480319,518.4848186862814,0.9230666666666667,315.87412922184836,0.725,1.434555846911062e-51,0
4000,pro,pooled_all_books,f3,225,200,139.1654489461731,706.9640066686292,0.9602,433.695150223576,0.795,1.2377709778405366e-60,0
4000,pro,leave_one_book_out,f1,225,200,106.04829098688151,589.401567426981,0.8505333333333334,644.3884740639352,0.395,4.811383145003627e-36,0
4000,pro,leave_one_book_out,f3,225,200,227.48035709166572,798.9585031199947,0.8849777777777778,783.6107712951841,0.52,4.6644349924581854e-43,0
