method,condition,feature,chunk_size,smoothing_eps,n_authors,n_human,n_llm,target_fpr,empirical_fpr,tpr,auc,empirical_fpr_ci_low,empirical_fpr_ci_high,tpr_ci_low,tpr_ci_high,auc_ci_low,auc_ci_high,threshold
out_of_author_crossfit,flash,f1,1000,0.5,20,1003,400,0.05,0.05284147557328016,0.4625,0.895351445663011,0.04473409780145947,0.12463545685951556,0.1225,0.79,0.8253949363766331,0.9513796699916653,
in_sample_calibration_contrast,flash,f1,1000,0.5,20,1003,400,0.05,0.05084745762711865,0.4725,0.8987786640079761,,,,,,,240.6949733217334
out_of_author_crossfit,pro,f1,1000,0.5,20,1003,200,0.05,0.05284147557328016,0.355,0.8440727816550349,0.044711928406867135,0.11822104166120447,0.15,0.625,0.7486197590312544,0.9147248825581175,
in_sample_calibration_contrast,pro,f1,1000,0.5,20,1003,200,0.05,0.05084745762711865,0.34,0.8475423728813559,,,,,,,240.6949733217334
out_of_author_crossfit,flash,f1,2000,0.5,20,485,400,0.05,0.0577319587628866,0.695,0.9458608247422681,0.03737944919467091,0.1646284425451091,0.20243750000000013,0.9475,0.8832319994926614,0.9829980379671645,
in_sample_calibration_contrast,flash,f1,2000,0.5,20,485,400,0.05,0.05154639175257732,0.735,0.9504845360824742,,,,,,,365.9213094491351
out_of_author_crossfit,pro,f1,2000,0.5,20,485,200,0.05,0.0577319587628866,0.67,0.9224123711340206,0.03822829578905414,0.16380212845838382,0.2448750000000002,0.915,0.8514539545732157,0.9709513515932688,
in_sample_calibration_contrast,pro,f1,2000,0.5,20,485,200,0.05,0.05154639175257732,0.675,0.9290618556701031,,,,,,,365.9213094491351
out_of_author_crossfit,flash,f1,4000,0.5,20,225,400,0.05,0.06222222222222222,0.8275,0.9619222222222222,0.041859978592974606,0.17544331258253157,0.3475,0.99,0.9095912756598241,0.9934510834200937,
in_sample_calibration_contrast,flash,f1,4000,0.5,20,225,400,0.05,0.05333333333333334,0.84,0.9677333333333333,,,,,,,644.3884740639352
