condition,feature,chunk_size,smoothing_eps,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
flash,f1,1000,0.5,0,16,4,846,157,80,240.3258887415612,0.050955414012738856,0.375,0.8273089171974523
flash,f1,1000,0.5,1,16,4,855,148,80,246.86686358340242,0.033783783783783786,0.3,0.8977195945945946
flash,f1,1000,0.5,2,16,4,820,183,80,253.89064689906223,0.01639344262295082,0.3,0.9471311475409836
flash,f1,1000,0.5,3,16,4,737,266,80,225.56649385187322,0.07142857142857142,0.5625,0.9347274436090226
flash,f1,1000,0.5,4,16,4,754,249,80,226.95247392913086,0.07228915662650602,0.775,0.9430722891566266
pro,f1,1000,0.5,0,16,4,846,157,40,240.3258887415612,0.050955414012738856,0.35,0.8627388535031847
pro,f1,1000,0.5,1,16,4,855,148,40,246.86686358340242,0.033783783783783786,0.1,0.7760135135135136
pro,f1,1000,0.5,2,16,4,820,183,40,253.89064689906223,0.01639344262295082,0.275,0.8271857923497268
pro,f1,1000,0.5,3,16,4,737,266,40,225.56649385187322,0.07142857142857142,0.675,0.9266917293233082
pro,f1,1000,0.5,4,16,4,754,249,40,226.95247392913086,0.07228915662650602,0.375,0.8196787148594378
flash,f1,2000,0.5,0,16,4,409,76,80,351.55698641406786,0.09210526315789473,0.5625,0.9133223684210526
flash,f1,2000,0.5,1,16,4,414,71,80,402.42443242185146,0.014084507042253521,0.5,0.9508802816901408
flash,f1,2000,0.5,2,16,4,397,88,80,410.89183654192504,0.011363636363636364,0.65,0.9896306818181818
flash,f1,2000,0.5,3,16,4,357,128,80,356.52269848062264,0.0625,0.775,0.950390625
flash,f1,2000,0.5,4,16,4,363,122,80,338.6297469359767,0.09016393442622951,0.9875,0.9903688524590164
pro,f1,2000,0.5,0,16,4,409,76,40,351.55698641406786,0.09210526315789473,0.675,0.9348684210526316
pro,f1,2000,0.5,1,16,4,414,71,40,402.42443242185146,0.014084507042253521,0.375,0.8947183098591549
pro,f1,2000,0.5,2,16,4,397,88,40,410.89183654192504,0.011363636363636364,0.525,0.9167613636363636
pro,f1,2000,0.5,3,16,4,357,128,40,356.52269848062264,0.0625,0.925,0.9498046875
pro,f1,2000,0.5,4,16,4,363,122,40,338.6297469359767,0.09016393442622951,0.85,0.9532786885245902
flash,f1,4000,0.5,0,16,4,190,35,80,637.7588650182204,0.05714285714285714,0.7125,0.9478571428571428
