row_type,condition,feature,metric,first_window,last_window,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,benjamini_hochberg_p,window_index
delta,flash,f1,target_kl,1,5,greater,20,0.025956875844162498,0.013968608726693746,0.03848295468446209,0.00013065338134765625,0.00193023681640625,
delta,flash,f1,target_margin,1,5,less,20,-0.012539341385476691,-0.02091660614070601,-0.004857912449019054,0.004154205322265625,0.01329345703125,
delta,flash,f1,target_rank,1,5,greater,20,0.6799999999999999,-0.09749999999999992,1.3375624999999995,0.007656097412109375,0.01361083984375,
delta,flash,f1,target_hit,1,5,less,20,-0.04,-0.10499999999999998,0.017499999999999998,0.15264890397601788,0.16282549757441908,
delta,flash,f3,target_kl,1,5,greater,20,0.03785148882706287,0.0187821631310448,0.05816466861997742,0.00024127960205078125,0.00193023681640625,
delta,flash,f3,target_margin,1,5,less,20,-0.020747167037069542,-0.03698095759765395,-0.004614176037637402,0.007656097412109375,0.01361083984375,
delta,flash,f3,target_rank,1,5,greater,20,0.8525,-0.1174999999999999,1.6700000000000004,0.0068583076027956685,0.01361083984375,
delta,flash,f3,target_hit,1,5,less,20,-0.032499999999999994,-0.1025,0.025,0.19953759827411854,0.19953759827411854,
delta,pro,f1,target_kl,1,5,greater,20,0.0103053677150624,0.0010643335488029577,0.018170692032136393,0.006808280944824219,0.01361083984375,
delta,pro,f1,target_margin,1,5,less,20,-0.011101296997767886,-0.0198191716337594,-0.00015542905711174606,0.001827239990234375,0.0073089599609375,
delta,pro,f1,target_rank,1,5,greater,20,0.8,-0.07999999999999993,1.5951249999999995,0.015874201599734346,0.02352001053545897,
delta,pro,f1,target_hit,1,5,less,20,-0.075,-0.1451249999999998,-0.015000000000000003,0.016170007243128042,0.02352001053545897,
delta,pro,f3,target_kl,1,5,greater,20,0.009796463872760838,-0.008322119530058862,0.02331188918485889,0.02422046661376953,0.02980980506310096,
delta,pro,f3,target_margin,1,5,less,20,-0.01799543248640838,-0.035102635655180854,0.003830701568176342,0.0015764236450195312,0.0073089599609375,
delta,pro,f3,target_rank,1,5,greater,20,0.7899999999999999,-0.24000000000000005,1.7151249999999996,0.022495279754906925,0.02980980506310096,
delta,pro,f3,target_hit,1,5,less,20,-0.06000000000000001,-0.14999999999999997,0.010000000000000002,0.11045435918220253,0.1262335533510886,
position,flash,f1,target_kl,,,,20,0.1309777081019342,0.10978162356907521,0.15305317529879306,,,1
position,flash,f1,target_kl,,,,20,0.16010671786069886,0.1374321359609441,0.18530346517391016,,,2
position,flash,f1,target_kl,,,,20,0.1554730819566276,0.13246993637092028,0.18187259289101798,,,3
position,flash,f1,target_kl,,,,20,0.15168778570469427,0.12904315430015695,0.17612676724940818,,,4
position,flash,f1,target_kl,,,,20,0.15693458394609672,0.13341204986697122,0.18496759391249587,,,5
position,flash,f3,target_kl,,,,20,0.2623718825772696,0.22539515522646072,0.30044337650586866,,,1
position,flash,f3,target_kl,,,,20,0.30671060933792477,0.26416999792225665,0.35577600304585416,,,2
position,flash,f3,target_kl,,,,20,0.2952084617922072,0.25394819965720705,0.3421555519505153,,,3
position,flash,f3,target_kl,,,,20,0.2913502578416767,0.25385498409658425,0.33490267054480005,,,4
position,flash,f3,target_kl,,,,20,0.3002233714043325,0.25739706727859735,0.34814350507138153,,,5
position,pro,f1,target_kl,,,,20,0.06247231763137397,0.04730699207864784,0.07837512238208098,,,1
position,pro,f1,target_kl,,,,20,0.07278961056282371,0.056687511678050716,0.09074504730666728,,,2
position,pro,f1,target_kl,,,,20,0.07465711163396732,0.05877960149835962,0.09133314409094462,,,3
position,pro,f1,target_kl,,,,20,0.07249316928929515,0.056950241145474194,0.0883521684663957,,,4
position,pro,f1,target_kl,,,,20,0.07277768534643637,0.05659842447546581,0.08916423521679429,,,5
position,pro,f3,target_kl,,,,20,0.13860463005729684,0.11306551036861787,0.16616774077808114,,,1
position,pro,f3,target_kl,,,,20,0.15607151879228065,0.12735191037659624,0.18648897357540137,,,2
position,pro,f3,target_kl,,,,20,0.15782759929978693,0.12929645364239556,0.18756323724052343,,,3
position,pro,f3,target_kl,,,,20,0.15106334578697167,0.12446063551212358,0.17566855387860905,,,4
position,pro,f3,target_kl,,,,20,0.1484010939300577,0.11967212141539671,0.1781305061516139,,,5
