author_set,source_type,condition,feature,chunk_size,author,cohort,sample_id,book_id,prompt_source_book,run_id,predicted_author,correct
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk1,full_books/jane_austen_full.txt,,,mary_shelley,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk2,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk3,full_books/jane_austen_full.txt,,,mark_twain,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk4,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk5,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk6,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk7,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk8,full_books/jane_austen_full.txt,,,mary_shelley,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk9,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk10,full_books/jane_austen_full.txt,,,mary_shelley,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk11,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk12,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk13,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk14,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk15,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk16,full_books/jane_austen_full.txt,,,agnes_may_fleming,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk17,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk18,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk19,full_books/jane_austen_full.txt,,,mark_twain,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk20,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk21,full_books/jane_austen_full.txt,,,mary_shelley,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk22,full_books/jane_austen_full.txt,,,charles_dickens,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk23,full_books/jane_austen_full.txt,,,mary_shelley,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk24,full_books/jane_austen_full.txt,,,mary_shelley,0
all_authors,human,,f1,1000,jane_austen,existing,full_books/jane_austen_full.txt#chunk25,full_books/jane_austen_full.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,gutenberg_texts/161.txt#chunk1,gutenberg_texts/161.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,gutenberg_texts/161.txt#chunk2,gutenberg_texts/161.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,gutenberg_texts/161.txt#chunk3,gutenberg_texts/161.txt,,,jane_austen,1
all_authors,human,,f1,1000,jane_austen,existing,gutenberg_texts/161.txt#chunk4,gutenberg_texts/161.txt,,,louis_joseph_vance,0
all_authors,human,,f1,1000,jane_austen,existing,gutenberg_texts/161.txt#chunk5,gutenberg_texts/161.txt,,,louis_joseph_vance,0
