method,condition,feature,chunk_size,smoothing_eps,n_authors,n_human,n_llm,target_fpr,empirical_fpr,tpr,auc,empirical_fpr_ci_low,empirical_fpr_ci_high,tpr_ci_low,tpr_ci_high,auc_ci_low,auc_ci_high,threshold
out_of_author_crossfit,flash,f1,1000,0.5,20,1003,400,0.05,0.05284147557328016,0.5475,0.9084247258225324,0.04473409780145947,0.12463545685951556,0.2075,0.8175624999999996,0.8386870367570399,0.9587567778706599,
in_sample_calibration_contrast,flash,f1,1000,0.5,20,1003,400,0.05,0.05084745762711865,0.535,0.911672482552343,,,,,,,240.6949733217334
out_of_author_crossfit,pro,f1,1000,0.5,20,1003,200,0.05,0.05284147557328016,0.18,0.7624875373878365,0.044711928406867135,0.11822104166120447,0.095,0.3601249999999993,0.6515609646265282,0.8506788837741412,
in_sample_calibration_contrast,pro,f1,1000,0.5,20,1003,200,0.05,0.05084745762711865,0.165,0.7656480558325025,,,,,,,240.6949733217334
out_of_author_crossfit,flash,f1,2000,0.5,20,485,400,0.05,0.0577319587628866,0.74,0.9472577319587628,0.03737944919467091,0.1646284425451091,0.2749375000000001,0.9475,0.8815224738892573,0.9829006658709188,
in_sample_calibration_contrast,flash,f1,2000,0.5,20,485,400,0.05,0.05154639175257732,0.7475,0.9519896907216495,,,,,,,365.9213094491351
out_of_author_crossfit,pro,f1,2000,0.5,20,485,200,0.05,0.0577319587628866,0.315,0.8113092783505155,0.03822829578905414,0.16380212845838382,0.15,0.645,0.7011527580826582,0.8921085056075159,
in_sample_calibration_contrast,pro,f1,2000,0.5,20,485,200,0.05,0.05154639175257732,0.295,0.8177113402061855,,,,,,,365.9213094491351
out_of_author_crossfit,flash,f1,4000,0.5,20,225,400,0.05,0.06222222222222222,0.8275,0.9627222222222223,0.041859978592974606,0.17544331258253157,0.34,0.9925,0.9095751015658632,0.9925853550353289,
in_sample_calibration_contrast,flash,f1,4000,0.5,20,225,400,0.05,0.05333333333333334,0.8325,0.9686333333333333,,,,,,,644.3884740639352
out_of_author_crossfit,pro,f1,4000,0.5,20,225,200,0.05,0.06222222222222222,0.46,0.8414222222222222,0.043102417092888964,0.19231099656357387,0.195,0.7706656346749222,0.7319266566398301,0.9259559691046342,
in_sample_calibration_contrast,pro,f1,4000,0.5,20,225,200,0.05,0.05333333333333334,0.395,0.8505333333333334,,,,,,,644.3884740639352
out_of_author_crossfit,flash,f3,1000,0.5,20,1003,400,0.05,0.049850448654037885,0.5825,0.9216201395812562,0.043277213677766165,0.11524670290313055,0.24,0.8450624999999996,0.8472500503641717,0.9637857341238496,
in_sample_calibration_contrast,flash,f3,1000,0.5,20,1003,400,0.05,0.05084745762711865,0.585,0.9237886340977068,,,,,,,308.04326470657713
out_of_author_crossfit,pro,f3,1000,0.5,20,1003,200,0.05,0.049850448654037885,0.195,0.7763908275174477,0.04283843329253366,0.11466984766658485,0.11,0.4,0.6740477575291334,0.8615217798921464,
in_sample_calibration_contrast,pro,f3,1000,0.5,20,1003,200,0.05,0.05084745762711865,0.195,0.7788035892323031,,,,,,,308.04326470657713
out_of_author_crossfit,flash,f3,2000,0.5,20,485,400,0.05,0.05360824742268041,0.815,0.9590927835051546,0.03981202517098504,0.14520289298515082,0.345,0.97,0.897004580026455,0.9871259530141844,
in_sample_calibration_contrast,flash,f3,2000,0.5,20,485,400,0.05,0.05154639175257732,0.8125,0.9618969072164949,,,,,,,470.292088245883
out_of_author_crossfit,pro,f3,2000,0.5,20,485,200,0.05,0.05360824742268041,0.37,0.8417216494845361,0.03804251006919344,0.1452491957667023,0.155,0.625,0.74546639828165,0.909783209136149,
in_sample_calibration_contrast,pro,f3,2000,0.5,20,485,200,0.05,0.05154639175257732,0.385,0.8454742268041238,,,,,,,470.292088245883
out_of_author_crossfit,flash,f3,4000,0.5,20,225,400,0.05,0.07111111111111111,0.91,0.9742333333333333,0.04148735937032127,0.16440133109330565,0.4274375000000001,1.0,0.923918257231991,0.9950003033980582,
