condition,feature,chunk_size,smoothing_eps,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
flash,f1,1000,0.5,0,16,4,846,157,80,240.3258887415612,0.050955414012738856,0.4125,0.8597929936305733
flash,f1,1000,0.5,1,16,4,855,148,80,246.86686358340242,0.033783783783783786,0.5,0.9238175675675676
flash,f1,1000,0.5,2,16,4,820,183,80,253.89064689906223,0.01639344262295082,0.3625,0.9243852459016394
flash,f1,1000,0.5,3,16,4,737,266,80,225.56649385187322,0.07142857142857142,0.675,0.9453007518796992
flash,f1,1000,0.5,4,16,4,754,249,80,226.95247392913086,0.07228915662650602,0.7875,0.9468373493975903
pro,f1,1000,0.5,0,16,4,846,157,40,240.3258887415612,0.050955414012738856,0.4,0.831687898089172
pro,f1,1000,0.5,1,16,4,855,148,40,246.86686358340242,0.033783783783783786,0.025,0.5907094594594594
pro,f1,1000,0.5,2,16,4,820,183,40,253.89064689906223,0.01639344262295082,0.175,0.7851092896174864
pro,f1,1000,0.5,3,16,4,737,266,40,225.56649385187322,0.07142857142857142,0.3,0.8921052631578947
pro,f1,1000,0.5,4,16,4,754,249,40,226.95247392913086,0.07228915662650602,0.0,0.6540160642570281
flash,f1,2000,0.5,0,16,4,409,76,80,351.55698641406786,0.09210526315789473,0.6125,0.9233552631578947
flash,f1,2000,0.5,1,16,4,414,71,80,402.42443242185146,0.014084507042253521,0.7375,0.969894366197183
flash,f1,2000,0.5,2,16,4,397,88,80,410.89183654192504,0.011363636363636364,0.5375,0.9650568181818182
flash,f1,2000,0.5,3,16,4,357,128,80,356.52269848062264,0.0625,0.85,0.95703125
flash,f1,2000,0.5,4,16,4,363,122,80,338.6297469359767,0.09016393442622951,0.9625,0.9834016393442623
pro,f1,2000,0.5,0,16,4,409,76,40,351.55698641406786,0.09210526315789473,0.5,0.8578947368421053
pro,f1,2000,0.5,1,16,4,414,71,40,402.42443242185146,0.014084507042253521,0.05,0.6626760563380282
pro,f1,2000,0.5,2,16,4,397,88,40,410.89183654192504,0.011363636363636364,0.3,0.8204545454545454
pro,f1,2000,0.5,3,16,4,357,128,40,356.52269848062264,0.0625,0.55,0.9154296875
pro,f1,2000,0.5,4,16,4,363,122,40,338.6297469359767,0.09016393442622951,0.175,0.7262295081967213
flash,f1,4000,0.5,0,16,4,190,35,80,637.7588650182204,0.05714285714285714,0.6875,0.9539285714285715
