row_type,condition,feature,metric,first_window,last_window,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,benjamini_hochberg_p,window_index
delta,flash,f1,target_kl,1,5,greater,20,0.052712376492919134,0.027866056667852628,0.0805984475598108,0.00035381317138671875,0.0008087158203125,
delta,flash,f1,target_margin,1,5,less,20,-0.04486250320138519,-0.06673179278467035,-0.02397991193069714,0.00013065338134765625,0.000522613525390625,
delta,flash,f1,target_rank,1,5,greater,20,1.7349999999999999,0.6475000000000001,2.9400625,0.004216183024291582,0.006132629853515028,
delta,flash,f1,target_hit,1,5,less,20,-0.032499999999999994,-0.07250000000000001,0.0024999999999999996,0.05989746521295916,0.07247180478690916,
delta,flash,f3,target_kl,1,5,greater,20,0.09163413043190578,0.04558823974621259,0.14377500423035502,0.0007162094116210938,0.0014324188232421875,
delta,flash,f3,target_margin,1,5,less,20,-0.08079004677617636,-0.1271647792613259,-0.03871607570665168,0.00019741058349609375,0.0006317138671875,
delta,flash,f3,target_rank,1,5,greater,20,1.3875,0.3275,2.5475,0.015175339635253183,0.02023378618033758,
delta,flash,f3,target_hit,1,5,less,20,-0.045,-0.1075,0.012500000000000002,0.10365863000049708,0.11056920533386355,
delta,pro,f1,target_kl,1,5,greater,20,0.08240433639033802,0.061771128152210246,0.10269246516855564,4.76837158203125e-06,3.814697265625e-05,
delta,pro,f1,target_margin,1,5,less,20,-0.04668344676401378,-0.06559353777172075,-0.02636830310509441,0.00024127960205078125,0.0006434122721354166,
delta,pro,f1,target_rank,1,5,greater,20,2.165,0.4396250000000005,3.7101249999999992,0.002695110237495812,0.004791307088881444,
delta,pro,f1,target_hit,1,5,less,20,-0.03499999999999999,-0.13999999999999999,0.06,0.26354462843276905,0.26354462843276905,
delta,pro,f3,target_kl,1,5,greater,20,0.16811810631657453,0.1246850138788543,0.21373013024929013,1.9073486328125e-06,3.0517578125e-05,
delta,pro,f3,target_margin,1,5,less,20,-0.1163018373422026,-0.1605078262670796,-0.07342408633500741,5.245208740234375e-05,0.0002797444661458333,
delta,pro,f3,target_rank,1,5,greater,20,2.4200000000000004,0.6699999999999999,4.005,0.0032076833412500753,0.0051322933460001205,
delta,pro,f3,target_hit,1,5,less,20,-0.07500000000000001,-0.17500000000000002,0.004999999999999999,0.06341282918854552,0.07247180478690916,
position,flash,f1,target_kl,,,,20,0.11401610537952742,0.09899752839772653,0.13056461290803617,,,1
position,flash,f1,target_kl,,,,20,0.14734021525364793,0.12231482534833973,0.1742694295304489,,,2
position,flash,f1,target_kl,,,,20,0.15859314791016724,0.12980937837466047,0.193669152192387,,,3
position,flash,f1,target_kl,,,,20,0.1560377766516639,0.1299711881090367,0.1864603296231612,,,4
position,flash,f1,target_kl,,,,20,0.16672848187244654,0.13632878066739992,0.20472643721609776,,,5
position,flash,f3,target_kl,,,,20,0.23333572388864607,0.20404820798698042,0.26592210289403284,,,1
position,flash,f3,target_kl,,,,20,0.2879056824376499,0.23914519635270343,0.34786258785505025,,,2
position,flash,f3,target_kl,,,,20,0.31172984332813397,0.25307389764416,0.3805197281708102,,,3
position,flash,f3,target_kl,,,,20,0.3086492240075258,0.25218747618851567,0.37238000490663575,,,4
position,flash,f3,target_kl,,,,20,0.3249698543205519,0.2632856996954046,0.3943607452369656,,,5
position,pro,f1,target_kl,,,,20,0.0845966772863617,0.06762974286885338,0.10067114695897932,,,1
position,pro,f1,target_kl,,,,20,0.13544869355269082,0.11422984813702022,0.15991691308531228,,,2
position,pro,f1,target_kl,,,,20,0.15398662362382567,0.12909993333955364,0.17848116487900173,,,3
position,pro,f1,target_kl,,,,20,0.15527645016052155,0.1292501764577301,0.18039261455670128,,,4
position,pro,f1,target_kl,,,,20,0.16700101367669973,0.14304412059164534,0.19190451046872323,,,5
position,pro,f3,target_kl,,,,20,0.18130320429494967,0.1506321294249589,0.21393168522060457,,,1
position,pro,f3,target_kl,,,,20,0.2701663396209836,0.22441968805244342,0.3219093063280572,,,2
position,pro,f3,target_kl,,,,20,0.31449974220275284,0.2614313606486674,0.3770007067660815,,,3
position,pro,f3,target_kl,,,,20,0.3215150306986537,0.2615001469770874,0.38259298170462835,,,4
position,pro,f3,target_kl,,,,20,0.3494213106115242,0.29235257077879473,0.41217739017955124,,,5
