row_type,feature,author,n_authors,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,document_macro_accuracy,chunk_macro_accuracy,geometric_mean_D_over_C,document_accuracy,chunk_accuracy,chunk_correct,chunk_total
summary,f1,ALL,20,0.5763733761059384,0.007813528280749113,0.0821744378891832,0.9364741170983737,0.7333333333333333,0.6259290492620251,,,,,
author,f1,agnes_may_fleming,,,,,,,,0.5219673965483418,0.3333333333333333,0.24242424242424243,8,33
author,f1,arthur_conan_doyle,,,,,,,,1.716672488233097,0.6666666666666666,0.8235294117647058,14,17
author,f1,arthur_scott_bailey,,,,,,,,2.366665736008548,1.0,0.6666666666666666,2,3
author,f1,charles_dickens,,,,,,,,0.9616559743209523,0.6666666666666666,0.8529411764705882,29,34
author,f1,charlotte_bronte,,,,,,,,0.32679373864516953,0.6666666666666666,0.5833333333333334,35,60
author,f1,ethel_m_dell,,,,,,,,2.21607020348158,1.0,0.8974358974358975,35,39
author,f1,harold_l_goodwin,,,,,,,,5.066216644349236,1.0,1.0,12,12
author,f1,herbert_george_wells,,,,,,,,0.2883952735273397,0.0,0.09090909090909091,1,11
author,f1,jane_austen,,,,,,,,2.011028151710165,1.0,0.7741935483870968,24,31
author,f1,john_c_hutcheson,,,,,,,,3.2209121216820176,1.0,0.9130434782608695,21,23
author,f1,joseph_conrad,,,,,,,,0.5740982186208011,0.6666666666666666,0.52,13,25
author,f1,kathleen_thompson_norris,,,,,,,,3.1115067571630024,1.0,0.5384615384615384,14,26
author,f1,louis_joseph_vance,,,,,,,,1.3385193946212195,0.6666666666666666,0.6190476190476191,13,21
author,f1,luis_senarens,,,,,,,,5.513056966816843,1.0,0.1111111111111111,1,9
author,f1,mark_twain,,,,,,,,0.5730524834179076,0.6666666666666666,0.4166666666666667,10,24
author,f1,mary_shelley,,,,,,,,0.9053916152716146,0.6666666666666666,0.95,19,20
author,f1,mildred_wirt,,,,,,,,4.435692939743949,1.0,1.0,14,14
author,f1,oscar_wilde,,,,,,,,0.08106369619089784,0.0,0.0,0,9
author,f1,robert_sidney_bowen,,,,,,,,1.6475619760095133,0.6666666666666666,0.5833333333333334,7,12
author,f1,susan_warner,,,,,,,,4.160377100465181,1.0,0.9354838709677419,58,62
summary,f3,ALL,20,0.5339933986149977,0.01530085852372528,0.020788450277851696,0.8949538568609128,0.8,0.7195399293938193,,,,,
author,f3,agnes_may_fleming,,,,,,,,0.5344416853878977,0.3333333333333333,0.3333333333333333,11,33
author,f3,arthur_conan_doyle,,,,,,,,1.456657391998956,1.0,0.9411764705882353,16,17
author,f3,arthur_scott_bailey,,,,,,,,1.96034593850977,1.0,0.6666666666666666,2,3
author,f3,charles_dickens,,,,,,,,0.849754657733527,0.6666666666666666,0.9117647058823529,31,34
author,f3,charlotte_bronte,,,,,,,,0.6085643387620057,0.6666666666666666,0.6,36,60
author,f3,ethel_m_dell,,,,,,,,2.6738003273809,1.0,0.9487179487179487,37,39
author,f3,harold_l_goodwin,,,,,,,,3.3929508731983886,1.0,1.0,12,12
author,f3,herbert_george_wells,,,,,,,,0.39302418203513334,0.0,0.18181818181818182,2,11
author,f3,jane_austen,,,,,,,,2.063449638561084,1.0,0.7741935483870968,24,31
author,f3,john_c_hutcheson,,,,,,,,3.3790659350984673,1.0,1.0,23,23
author,f3,joseph_conrad,,,,,,,,0.6266463623816558,0.6666666666666666,0.72,18,25
author,f3,kathleen_thompson_norris,,,,,,,,2.793919564329481,1.0,0.8461538461538461,22,26
author,f3,louis_joseph_vance,,,,,,,,1.4805936335491219,1.0,0.7142857142857143,15,21
author,f3,luis_senarens,,,,,,,,5.317728862451326,1.0,0.3333333333333333,3,9
author,f3,mark_twain,,,,,,,,1.371942314718383,1.0,0.8333333333333334,20,24
author,f3,mary_shelley,,,,,,,,0.8904418367501883,0.6666666666666666,1.0,20,20
author,f3,mildred_wirt,,,,,,,,3.446440339384334,1.0,1.0,14,14
author,f3,oscar_wilde,,,,,,,,0.1533668960445181,0.0,0.0,0,9
author,f3,robert_sidney_bowen,,,,,,,,1.8537467072860423,1.0,0.6666666666666666,8,12
author,f3,susan_warner,,,,,,,,3.3937261159355363,1.0,0.9193548387096774,57,62
