row_type,condition,feature,chunk_size,start_mark,window_name,author,n_observations,n_correct,accuracy,n_authors,macro_accuracy
author,flash,f3,2000,0,prefix,jane_austen,20,1,0.05,,
author,flash,f3,2000,0,prefix,herbert_george_wells,20,4,0.2,,
author,flash,f3,2000,0,prefix,agnes_may_fleming,20,0,0.0,,
author,flash,f3,2000,0,prefix,charles_dickens,20,2,0.1,,
author,flash,f3,2000,0,prefix,mark_twain,20,0,0.0,,
author,flash,f3,2000,0,prefix,arthur_conan_doyle,20,0,0.0,,
author,flash,f3,2000,0,prefix,mary_shelley,20,11,0.55,,
author,flash,f3,2000,0,prefix,charlotte_bronte,20,0,0.0,,
author,flash,f3,2000,0,prefix,oscar_wilde,20,2,0.1,,
author,flash,f3,2000,0,prefix,joseph_conrad,20,8,0.4,,
author,flash,f3,2000,0,prefix,mildred_wirt,20,0,0.0,,
author,flash,f3,2000,0,prefix,robert_sidney_bowen,20,2,0.1,,
author,flash,f3,2000,0,prefix,luis_senarens,20,0,0.0,,
author,flash,f3,2000,0,prefix,john_c_hutcheson,20,0,0.0,,
author,flash,f3,2000,0,prefix,harold_l_goodwin,20,1,0.05,,
author,flash,f3,2000,0,prefix,kathleen_thompson_norris,20,4,0.2,,
author,flash,f3,2000,0,prefix,arthur_scott_bailey,20,0,0.0,,
author,flash,f3,2000,0,prefix,louis_joseph_vance,20,0,0.0,,
author,flash,f3,2000,0,prefix,susan_warner,20,0,0.0,,
author,flash,f3,2000,0,prefix,ethel_m_dell,20,0,0.0,,
author,pro,f3,2000,0,prefix,jane_austen,10,0,0.0,,
author,pro,f3,2000,0,prefix,herbert_george_wells,10,0,0.0,,
author,pro,f3,2000,0,prefix,agnes_may_fleming,10,0,0.0,,
author,pro,f3,2000,0,prefix,charles_dickens,10,0,0.0,,
author,pro,f3,2000,0,prefix,mark_twain,10,0,0.0,,
author,pro,f3,2000,0,prefix,arthur_conan_doyle,10,3,0.3,,
author,pro,f3,2000,0,prefix,mary_shelley,10,0,0.0,,
author,pro,f3,2000,0,prefix,charlotte_bronte,10,0,0.0,,
author,pro,f3,2000,0,prefix,oscar_wilde,10,0,0.0,,
author,pro,f3,2000,0,prefix,joseph_conrad,10,2,0.2,,
author,pro,f3,2000,0,prefix,mildred_wirt,10,0,0.0,,
author,pro,f3,2000,0,prefix,robert_sidney_bowen,10,0,0.0,,
author,pro,f3,2000,0,prefix,luis_senarens,10,1,0.1,,
author,pro,f3,2000,0,prefix,john_c_hutcheson,10,0,0.0,,
author,pro,f3,2000,0,prefix,harold_l_goodwin,10,10,1.0,,
author,pro,f3,2000,0,prefix,kathleen_thompson_norris,10,0,0.0,,
author,pro,f3,2000,0,prefix,arthur_scott_bailey,10,0,0.0,,
author,pro,f3,2000,0,prefix,louis_joseph_vance,10,0,0.0,,
author,pro,f3,2000,0,prefix,susan_warner,10,0,0.0,,
author,pro,f3,2000,0,prefix,ethel_m_dell,10,0,0.0,,
author,flash,f3,2000,2000,late,jane_austen,20,1,0.05,,
author,flash,f3,2000,2000,late,herbert_george_wells,20,7,0.35,,
author,flash,f3,2000,2000,late,agnes_may_fleming,20,0,0.0,,
author,flash,f3,2000,2000,late,charles_dickens,20,0,0.0,,
author,flash,f3,2000,2000,late,mark_twain,20,0,0.0,,
author,flash,f3,2000,2000,late,arthur_conan_doyle,20,6,0.3,,
author,flash,f3,2000,2000,late,mary_shelley,20,12,0.6,,
author,flash,f3,2000,2000,late,charlotte_bronte,20,0,0.0,,
author,flash,f3,2000,2000,late,oscar_wilde,20,5,0.25,,
author,flash,f3,2000,2000,late,joseph_conrad,20,2,0.1,,
author,flash,f3,2000,2000,late,mildred_wirt,20,0,0.0,,
author,flash,f3,2000,2000,late,robert_sidney_bowen,20,0,0.0,,
author,flash,f3,2000,2000,late,luis_senarens,20,0,0.0,,
author,flash,f3,2000,2000,late,john_c_hutcheson,20,0,0.0,,
author,flash,f3,2000,2000,late,harold_l_goodwin,20,0,0.0,,
author,flash,f3,2000,2000,late,kathleen_thompson_norris,20,3,0.15,,
author,flash,f3,2000,2000,late,arthur_scott_bailey,20,0,0.0,,
author,flash,f3,2000,2000,late,louis_joseph_vance,20,0,0.0,,
author,flash,f3,2000,2000,late,susan_warner,20,0,0.0,,
author,flash,f3,2000,2000,late,ethel_m_dell,20,0,0.0,,
author,pro,f3,2000,2000,late,jane_austen,10,0,0.0,,
author,pro,f3,2000,2000,late,herbert_george_wells,10,2,0.2,,
author,pro,f3,2000,2000,late,agnes_may_fleming,10,0,0.0,,
author,pro,f3,2000,2000,late,charles_dickens,10,0,0.0,,
author,pro,f3,2000,2000,late,mark_twain,10,0,0.0,,
author,pro,f3,2000,2000,late,arthur_conan_doyle,10,0,0.0,,
author,pro,f3,2000,2000,late,mary_shelley,10,0,0.0,,
author,pro,f3,2000,2000,late,charlotte_bronte,10,0,0.0,,
author,pro,f3,2000,2000,late,oscar_wilde,10,0,0.0,,
author,pro,f3,2000,2000,late,joseph_conrad,10,3,0.3,,
author,pro,f3,2000,2000,late,mildred_wirt,10,0,0.0,,
author,pro,f3,2000,2000,late,robert_sidney_bowen,10,0,0.0,,
author,pro,f3,2000,2000,late,luis_senarens,10,1,0.1,,
author,pro,f3,2000,2000,late,john_c_hutcheson,10,0,0.0,,
author,pro,f3,2000,2000,late,harold_l_goodwin,10,7,0.7,,
author,pro,f3,2000,2000,late,kathleen_thompson_norris,10,0,0.0,,
author,pro,f3,2000,2000,late,arthur_scott_bailey,10,0,0.0,,
author,pro,f3,2000,2000,late,louis_joseph_vance,10,0,0.0,,
author,pro,f3,2000,2000,late,susan_warner,10,0,0.0,,
author,pro,f3,2000,2000,late,ethel_m_dell,10,0,0.0,,
summary,flash,f3,2000,0,prefix,ALL,400,35,,20,0.08750000000000001
summary,flash,f3,2000,2000,late,ALL,400,36,,20,0.09
summary,pro,f3,2000,0,prefix,ALL,200,16,,20,0.07999999999999999
summary,pro,f3,2000,2000,late,ALL,200,13,,20,0.06499999999999999
