method,condition,feature,chunk_size,start_mark,end_mark,window_name,window_label,n_authors,n_human,n_llm,target_fpr,empirical_fpr,tpr,auc,empirical_fpr_ci_low,empirical_fpr_ci_high,tpr_ci_low,tpr_ci_high,auc_ci_low,auc_ci_high
out_of_author_crossfit,flash,f3,2000,0,2000,prefix,marks 1-2000,20,485,400,0.05,0.05360824742268041,0.755,0.9524123711340207,0.03956043956043956,0.13509594298245609,0.2925,0.96,0.8939062267365978,0.9858413299474343
out_of_author_crossfit,pro,f3,2000,0,2000,prefix,marks 1-2000,20,485,200,0.05,0.05360824742268041,0.715,0.9308865979381443,0.04016872895435748,0.1380423770694341,0.28,0.94,0.8505349643576632,0.9754162693148277
out_of_author_crossfit,flash,f3,2000,2000,4000,late,marks 2001-4000,20,485,400,0.05,0.05360824742268041,0.8825,0.9689948453608247,0.03902413983072069,0.1369631555153704,0.4024375000000001,0.985,0.9176958220344875,0.9935101427573861
out_of_author_crossfit,pro,f3,2000,2000,4000,late,marks 2001-4000,20,485,200,0.05,0.05360824742268041,0.875,0.9664845360824742,0.03925198577324929,0.15082653061224457,0.5048750000000002,0.98,0.9119713565219341,0.9921041688300449
out_of_author_crossfit,flash,f3,1000,0,1000,window_1,marks 1-1000,20,1003,400,0.05,0.049850448654037885,0.5275,0.9033250249252244,0.042379589381355276,0.11721484277858484,0.17,0.8000624999999997,0.8330305591347736,0.9510681217498143
out_of_author_crossfit,pro,f3,1000,0,1000,window_1,marks 1-1000,20,1003,200,0.05,0.049850448654037885,0.39,0.8524775672981056,0.04262961347653056,0.12071391373444287,0.155,0.655,0.7641242899761338,0.9241573778746626
out_of_author_crossfit,flash,f3,1000,1000,2000,window_2,marks 1001-2000,20,1003,400,0.05,0.049850448654037885,0.7275,0.9488434695912263,0.04308929262762016,0.1157464572450651,0.295,0.945,0.88969534832798,0.9823153539693174
out_of_author_crossfit,pro,f3,1000,1000,2000,window_2,marks 1001-2000,20,1003,200,0.05,0.049850448654037885,0.725,0.937283150548355,0.042964284035564106,0.11605255309983757,0.3448750000000002,0.94,0.8658808768548015,0.9779422949461475
out_of_author_crossfit,flash,f3,1000,2000,3000,window_3,marks 2001-3000,20,1003,400,0.05,0.049850448654037885,0.7725,0.9532078763708873,0.042704281051318294,0.11281170483460556,0.3425,0.9625,0.8953413299610536,0.9839018976796168
out_of_author_crossfit,pro,f3,1000,2000,3000,window_3,marks 2001-3000,20,1003,200,0.05,0.049850448654037885,0.775,0.9456430707876371,0.0427158275594718,0.12077514158794013,0.435,0.94,0.8857158272969008,0.9810174202984965
out_of_author_crossfit,flash,f3,1000,3000,4000,window_4,marks 3001-4000,20,1003,400,0.05,0.049850448654037885,0.7675,0.9522806580259222,0.0423728813559322,0.11781918157866823,0.34,0.9450624999999996,0.8945615324450934,0.9831576269774644
out_of_author_crossfit,pro,f3,1000,3000,4000,window_4,marks 3001-4000,20,1003,200,0.05,0.049850448654037885,0.775,0.9484346959122633,0.04254634699624532,0.11635482873490936,0.43987500000000024,0.95,0.8849804758805696,0.9832762064980443
out_of_author_crossfit,flash,f3,1000,4000,5000,window_5,marks 4001-5000,20,1003,400,0.05,0.049850448654037885,0.78,0.9558748753738784,0.042200344741484166,0.11429780943421576,0.38,0.95,0.9008642194086133,0.983731908966967
out_of_author_crossfit,pro,f3,1000,4000,5000,window_5,marks 4001-5000,20,1003,200,0.05,0.049850448654037885,0.805,0.9597308075772681,0.043256179995719485,0.12247824894703525,0.49,0.9701249999999992,0.9008206511752408,0.9870808421024659
