condition,feature,chunk_size,start_mark,window_name,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
flash,f3,2000,0,prefix,0,16,4,409,76,80,441.8837615060074,0.09210526315789473,0.5875,0.9254934210526315
flash,f3,2000,0,prefix,1,16,4,414,71,80,483.8554732139631,0.014084507042253521,0.5125,0.9323943661971831
flash,f3,2000,0,prefix,2,16,4,397,88,80,490.58141011645677,0.0,0.8125,0.9946022727272728
flash,f3,2000,0,prefix,3,16,4,357,128,80,448.9392291876774,0.0625,0.875,0.95048828125
flash,f3,2000,0,prefix,4,16,4,363,122,80,439.09349201689486,0.08196721311475409,0.9875,0.9879098360655738
pro,f3,2000,0,prefix,0,16,4,409,76,40,441.8837615060074,0.09210526315789473,0.775,0.937828947368421
pro,f3,2000,0,prefix,1,16,4,414,71,40,483.8554732139631,0.014084507042253521,0.325,0.8894366197183099
pro,f3,2000,0,prefix,2,16,4,397,88,40,490.58141011645677,0.0,0.725,0.91875
pro,f3,2000,0,prefix,3,16,4,357,128,40,448.9392291876774,0.0625,0.925,0.956640625
pro,f3,2000,0,prefix,4,16,4,363,122,40,439.09349201689486,0.08196721311475409,0.825,0.9577868852459016
flash,f3,2000,2000,late,0,16,4,409,76,80,441.8837615060074,0.09210526315789473,0.85,0.9641447368421052
flash,f3,2000,2000,late,1,16,4,414,71,80,483.8554732139631,0.014084507042253521,0.7,0.948943661971831
flash,f3,2000,2000,late,2,16,4,397,88,80,490.58141011645677,0.0,0.95,0.9991477272727273
flash,f3,2000,2000,late,3,16,4,357,128,80,448.9392291876774,0.0625,0.9125,0.9638671875
flash,f3,2000,2000,late,4,16,4,363,122,80,439.09349201689486,0.08196721311475409,1.0,0.9939549180327869
pro,f3,2000,2000,late,0,16,4,409,76,40,441.8837615060074,0.09210526315789473,0.925,0.9766447368421053
pro,f3,2000,2000,late,1,16,4,414,71,40,483.8554732139631,0.014084507042253521,0.775,0.9605633802816902
pro,f3,2000,2000,late,2,16,4,397,88,40,490.58141011645677,0.0,0.75,0.9710227272727273
pro,f3,2000,2000,late,3,16,4,357,128,40,448.9392291876774,0.0625,0.975,0.9775390625
pro,f3,2000,2000,late,4,16,4,363,122,40,439.09349201689486,0.08196721311475409,0.95,0.9799180327868853
flash,f3,1000,0,window_1,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.45,0.8503980891719746
flash,f3,1000,0,window_1,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.375,0.8777027027027027
flash,f3,1000,0,window_1,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.4,0.9525956284153005
flash,f3,1000,0,window_1,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.6,0.9305921052631579
flash,f3,1000,0,window_1,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.8125,0.9487449799196788
pro,f3,1000,0,window_1,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.425,0.8727707006369426
pro,f3,1000,0,window_1,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.1,0.7584459459459459
pro,f3,1000,0,window_1,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.35,0.8274590163934427
pro,f3,1000,0,window_1,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.7,0.9241541353383459
pro,f3,1000,0,window_1,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.375,0.8191767068273093
flash,f3,1000,1000,window_2,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.6375,0.9343152866242038
flash,f3,1000,1000,window_2,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.4875,0.9228040540540541
flash,f3,1000,1000,window_2,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.725,0.989207650273224
flash,f3,1000,1000,window_2,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.8,0.9512687969924812
flash,f3,1000,1000,window_2,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.9875,0.9848895582329317
pro,f3,1000,1000,window_2,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.7,0.9418789808917197
pro,f3,1000,1000,window_2,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.45,0.9091216216216216
pro,f3,1000,1000,window_2,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.75,0.9357923497267759
pro,f3,1000,1000,window_2,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.95,0.9658834586466165
pro,f3,1000,1000,window_2,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.775,0.9625502008032129
flash,f3,1000,2000,window_3,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.6875,0.9439490445859873
flash,f3,1000,2000,window_3,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.525,0.9206081081081081
flash,f3,1000,2000,window_3,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.825,0.9918715846994536
flash,f3,1000,2000,window_3,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.85,0.9554511278195489
flash,f3,1000,2000,window_3,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.975,0.9860943775100401
pro,f3,1000,2000,window_3,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.8,0.9614649681528662
pro,f3,1000,2000,window_3,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.425,0.9214527027027027
pro,f3,1000,2000,window_3,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.775,0.9306010928961749
pro,f3,1000,2000,window_3,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.975,0.9710526315789474
pro,f3,1000,2000,window_3,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.9,0.9640562248995984
flash,f3,1000,3000,window_4,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.725,0.9488853503184713
flash,f3,1000,3000,window_4,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.6125,0.9212837837837838
flash,f3,1000,3000,window_4,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.7125,0.9886612021857923
flash,f3,1000,3000,window_4,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.8375,0.9552161654135338
flash,f3,1000,3000,window_4,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.95,0.9802208835341365
pro,f3,1000,3000,window_4,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.8,0.9665605095541401
pro,f3,1000,3000,window_4,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.6,0.9319256756756756
pro,f3,1000,3000,window_4,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.75,0.9311475409836065
pro,f3,1000,3000,window_4,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.975,0.9743421052631579
pro,f3,1000,3000,window_4,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.75,0.9503012048192772
flash,f3,1000,4000,window_5,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.775,0.9576433121019108
flash,f3,1000,4000,window_5,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.6375,0.9283783783783783
flash,f3,1000,4000,window_5,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.7625,0.989207650273224
flash,f3,1000,4000,window_5,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.7875,0.9570018796992481
flash,f3,1000,4000,window_5,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.9375,0.9791164658634538
pro,f3,1000,4000,window_5,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.8,0.9699044585987261
pro,f3,1000,4000,window_5,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.625,0.9599662162162163
pro,f3,1000,4000,window_5,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.775,0.9512295081967214
pro,f3,1000,4000,window_5,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,1.0,0.9796052631578948
pro,f3,1000,4000,window_5,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.825,0.9671686746987952
