row_type,condition,feature,chunk_size,start_mark,window_name,author,n_observations,n_correct,accuracy,n_authors,macro_accuracy
author,flash,f3,2000,0,prefix,jane_austen,20,0,0.0,,
author,flash,f3,2000,0,prefix,herbert_george_wells,20,0,0.0,,
author,flash,f3,2000,0,prefix,agnes_may_fleming,20,0,0.0,,
author,flash,f3,2000,0,prefix,charles_dickens,20,1,0.05,,
author,flash,f3,2000,0,prefix,mark_twain,20,0,0.0,,
author,flash,f3,2000,0,prefix,arthur_conan_doyle,20,0,0.0,,
author,flash,f3,2000,0,prefix,mary_shelley,20,19,0.95,,
author,flash,f3,2000,0,prefix,charlotte_bronte,20,0,0.0,,
author,flash,f3,2000,0,prefix,oscar_wilde,20,10,0.5,,
author,flash,f3,2000,0,prefix,joseph_conrad,20,8,0.4,,
author,flash,f3,2000,0,prefix,mildred_wirt,20,0,0.0,,
author,flash,f3,2000,0,prefix,robert_sidney_bowen,20,1,0.05,,
author,flash,f3,2000,0,prefix,luis_senarens,20,0,0.0,,
author,flash,f3,2000,0,prefix,john_c_hutcheson,20,4,0.2,,
author,flash,f3,2000,0,prefix,harold_l_goodwin,20,4,0.2,,
author,flash,f3,2000,0,prefix,kathleen_thompson_norris,20,7,0.35,,
author,flash,f3,2000,0,prefix,arthur_scott_bailey,20,0,0.0,,
author,flash,f3,2000,0,prefix,louis_joseph_vance,20,0,0.0,,
author,flash,f3,2000,0,prefix,susan_warner,20,0,0.0,,
author,flash,f3,2000,0,prefix,ethel_m_dell,20,0,0.0,,
author,pro,f3,2000,0,prefix,jane_austen,10,0,0.0,,
author,pro,f3,2000,0,prefix,herbert_george_wells,10,0,0.0,,
author,pro,f3,2000,0,prefix,agnes_may_fleming,10,2,0.2,,
author,pro,f3,2000,0,prefix,charles_dickens,10,4,0.4,,
author,pro,f3,2000,0,prefix,mark_twain,10,0,0.0,,
author,pro,f3,2000,0,prefix,arthur_conan_doyle,10,6,0.6,,
author,pro,f3,2000,0,prefix,mary_shelley,10,2,0.2,,
author,pro,f3,2000,0,prefix,charlotte_bronte,10,0,0.0,,
author,pro,f3,2000,0,prefix,oscar_wilde,10,0,0.0,,
author,pro,f3,2000,0,prefix,joseph_conrad,10,5,0.5,,
author,pro,f3,2000,0,prefix,mildred_wirt,10,1,0.1,,
author,pro,f3,2000,0,prefix,robert_sidney_bowen,10,1,0.1,,
author,pro,f3,2000,0,prefix,luis_senarens,10,0,0.0,,
author,pro,f3,2000,0,prefix,john_c_hutcheson,10,0,0.0,,
author,pro,f3,2000,0,prefix,harold_l_goodwin,10,10,1.0,,
author,pro,f3,2000,0,prefix,kathleen_thompson_norris,10,0,0.0,,
author,pro,f3,2000,0,prefix,arthur_scott_bailey,10,1,0.1,,
author,pro,f3,2000,0,prefix,louis_joseph_vance,10,0,0.0,,
author,pro,f3,2000,0,prefix,susan_warner,10,0,0.0,,
author,pro,f3,2000,0,prefix,ethel_m_dell,10,0,0.0,,
author,flash,f3,2000,2000,late,jane_austen,20,0,0.0,,
author,flash,f3,2000,2000,late,herbert_george_wells,20,1,0.05,,
author,flash,f3,2000,2000,late,agnes_may_fleming,20,0,0.0,,
author,flash,f3,2000,2000,late,charles_dickens,20,3,0.15,,
author,flash,f3,2000,2000,late,mark_twain,20,0,0.0,,
author,flash,f3,2000,2000,late,arthur_conan_doyle,20,0,0.0,,
author,flash,f3,2000,2000,late,mary_shelley,20,16,0.8,,
author,flash,f3,2000,2000,late,charlotte_bronte,20,0,0.0,,
author,flash,f3,2000,2000,late,oscar_wilde,20,10,0.5,,
author,flash,f3,2000,2000,late,joseph_conrad,20,1,0.05,,
author,flash,f3,2000,2000,late,mildred_wirt,20,0,0.0,,
author,flash,f3,2000,2000,late,robert_sidney_bowen,20,0,0.0,,
author,flash,f3,2000,2000,late,luis_senarens,20,0,0.0,,
author,flash,f3,2000,2000,late,john_c_hutcheson,20,3,0.15,,
author,flash,f3,2000,2000,late,harold_l_goodwin,20,0,0.0,,
author,flash,f3,2000,2000,late,kathleen_thompson_norris,20,6,0.3,,
author,flash,f3,2000,2000,late,arthur_scott_bailey,20,0,0.0,,
author,flash,f3,2000,2000,late,louis_joseph_vance,20,0,0.0,,
author,flash,f3,2000,2000,late,susan_warner,20,0,0.0,,
author,flash,f3,2000,2000,late,ethel_m_dell,20,0,0.0,,
author,pro,f3,2000,2000,late,jane_austen,10,0,0.0,,
author,pro,f3,2000,2000,late,herbert_george_wells,10,0,0.0,,
author,pro,f3,2000,2000,late,agnes_may_fleming,10,0,0.0,,
author,pro,f3,2000,2000,late,charles_dickens,10,1,0.1,,
author,pro,f3,2000,2000,late,mark_twain,10,0,0.0,,
author,pro,f3,2000,2000,late,arthur_conan_doyle,10,5,0.5,,
author,pro,f3,2000,2000,late,mary_shelley,10,0,0.0,,
author,pro,f3,2000,2000,late,charlotte_bronte,10,0,0.0,,
author,pro,f3,2000,2000,late,oscar_wilde,10,0,0.0,,
author,pro,f3,2000,2000,late,joseph_conrad,10,4,0.4,,
author,pro,f3,2000,2000,late,mildred_wirt,10,0,0.0,,
author,pro,f3,2000,2000,late,robert_sidney_bowen,10,0,0.0,,
author,pro,f3,2000,2000,late,luis_senarens,10,0,0.0,,
author,pro,f3,2000,2000,late,john_c_hutcheson,10,0,0.0,,
author,pro,f3,2000,2000,late,harold_l_goodwin,10,10,1.0,,
author,pro,f3,2000,2000,late,kathleen_thompson_norris,10,0,0.0,,
author,pro,f3,2000,2000,late,arthur_scott_bailey,10,0,0.0,,
author,pro,f3,2000,2000,late,louis_joseph_vance,10,0,0.0,,
author,pro,f3,2000,2000,late,susan_warner,10,0,0.0,,
author,pro,f3,2000,2000,late,ethel_m_dell,10,0,0.0,,
summary,flash,f3,2000,0,prefix,ALL,400,54,,20,0.135
summary,flash,f3,2000,2000,late,ALL,400,40,,20,0.1
summary,pro,f3,2000,0,prefix,ALL,200,32,,20,0.15999999999999998
summary,pro,f3,2000,2000,late,ALL,200,20,,20,0.1
