condition,feature,chunk_size,start_mark,window_name,fold,n_calibration_authors,n_test_authors,n_calibration_human,n_test_human,n_test_llm,threshold,empirical_fpr,tpr,auc
flash,f3,2000,0,prefix,0,16,4,409,76,80,441.8837615060074,0.09210526315789473,0.65,0.9335526315789474
flash,f3,2000,0,prefix,1,16,4,414,71,80,483.8554732139631,0.014084507042253521,0.725,0.9772887323943662
flash,f3,2000,0,prefix,2,16,4,397,88,80,490.58141011645677,0.0,0.7625,0.9873579545454545
flash,f3,2000,0,prefix,3,16,4,357,128,80,448.9392291876774,0.0625,0.95,0.95419921875
flash,f3,2000,0,prefix,4,16,4,363,122,80,439.09349201689486,0.08196721311475409,0.9875,0.9860655737704918
pro,f3,2000,0,prefix,0,16,4,409,76,40,441.8837615060074,0.09210526315789473,0.475,0.8628289473684211
pro,f3,2000,0,prefix,1,16,4,414,71,40,483.8554732139631,0.014084507042253521,0.175,0.7422535211267606
pro,f3,2000,0,prefix,2,16,4,397,88,40,490.58141011645677,0.0,0.35,0.8548295454545455
pro,f3,2000,0,prefix,3,16,4,357,128,40,448.9392291876774,0.0625,0.6,0.907421875
pro,f3,2000,0,prefix,4,16,4,363,122,40,439.09349201689486,0.08196721311475409,0.25,0.7547131147540984
flash,f3,2000,2000,late,0,16,4,409,76,80,441.8837615060074,0.09210526315789473,0.825,0.9582236842105263
flash,f3,2000,2000,late,1,16,4,414,71,80,483.8554732139631,0.014084507042253521,0.8625,0.9871478873239437
flash,f3,2000,2000,late,2,16,4,397,88,80,490.58141011645677,0.0,0.75,0.9970170454545455
flash,f3,2000,2000,late,3,16,4,357,128,80,448.9392291876774,0.0625,0.95,0.9556640625
flash,f3,2000,2000,late,4,16,4,363,122,80,439.09349201689486,0.08196721311475409,1.0,0.9931352459016394
pro,f3,2000,2000,late,0,16,4,409,76,40,441.8837615060074,0.09210526315789473,0.575,0.8911184210526316
pro,f3,2000,2000,late,1,16,4,414,71,40,483.8554732139631,0.014084507042253521,0.225,0.7753521126760563
pro,f3,2000,2000,late,2,16,4,397,88,40,490.58141011645677,0.0,0.425,0.8428977272727273
pro,f3,2000,2000,late,3,16,4,357,128,40,448.9392291876774,0.0625,0.75,0.92265625
pro,f3,2000,2000,late,4,16,4,363,122,40,439.09349201689486,0.08196721311475409,0.4,0.7895491803278688
flash,f3,1000,0,window_1,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.4125,0.8732484076433121
flash,f3,1000,0,window_1,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.4625,0.9335304054054054
flash,f3,1000,0,window_1,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.475,0.9558060109289618
flash,f3,1000,0,window_1,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.725,0.9428101503759398
flash,f3,1000,0,window_1,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.8375,0.9554216867469879
pro,f3,1000,0,window_1,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.4,0.8296178343949044
pro,f3,1000,0,window_1,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.0,0.6577702702702702
pro,f3,1000,0,window_1,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.275,0.7836065573770492
pro,f3,1000,0,window_1,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.3,0.881203007518797
pro,f3,1000,0,window_1,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.0,0.6617469879518072
flash,f3,1000,1000,window_2,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.65,0.9419585987261146
flash,f3,1000,1000,window_2,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.6375,0.964527027027027
flash,f3,1000,1000,window_2,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.6375,0.9627732240437158
flash,f3,1000,1000,window_2,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.9,0.9488721804511279
flash,f3,1000,1000,window_2,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.9625,0.9786144578313253
pro,f3,1000,1000,window_2,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.325,0.8371019108280254
pro,f3,1000,1000,window_2,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.075,0.7282094594594595
pro,f3,1000,1000,window_2,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.275,0.8148907103825137
pro,f3,1000,1000,window_2,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.55,0.8993421052631579
pro,f3,1000,1000,window_2,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.15,0.7109437751004016
flash,f3,1000,2000,window_3,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.5875,0.9392515923566879
flash,f3,1000,2000,window_3,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.6625,0.9533783783783784
flash,f3,1000,2000,window_3,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.6125,0.9771857923497268
flash,f3,1000,2000,window_3,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.8375,0.9476503759398496
flash,f3,1000,2000,window_3,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.925,0.9792168674698796
pro,f3,1000,2000,window_3,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.35,0.8571656050955414
pro,f3,1000,2000,window_3,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.025,0.7285472972972973
pro,f3,1000,2000,window_3,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.35,0.7887978142076503
pro,f3,1000,2000,window_3,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.6,0.9125
pro,f3,1000,2000,window_3,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.175,0.7047188755020081
flash,f3,1000,3000,window_4,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.5625,0.9334394904458598
flash,f3,1000,3000,window_4,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.6625,0.965625
flash,f3,1000,3000,window_4,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.6375,0.9740437158469946
flash,f3,1000,3000,window_4,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.8,0.9445488721804511
flash,f3,1000,3000,window_4,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.95,0.9811244979919679
pro,f3,1000,3000,window_4,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.275,0.8302547770700637
pro,f3,1000,3000,window_4,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.025,0.7226351351351351
pro,f3,1000,3000,window_4,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.25,0.8001366120218579
pro,f3,1000,3000,window_4,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.525,0.9113721804511278
pro,f3,1000,3000,window_4,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.175,0.7309236947791165
flash,f3,1000,4000,window_5,0,16,4,846,157,80,298.80580557981006,0.06369426751592357,0.5875,0.9269904458598726
flash,f3,1000,4000,window_5,1,16,4,855,148,80,318.1576567375748,0.02702702702702703,0.65,0.957179054054054
flash,f3,1000,4000,window_5,2,16,4,820,183,80,324.7222817120872,0.00546448087431694,0.65,0.9700136612021858
flash,f3,1000,4000,window_5,3,16,4,737,266,80,291.5222191682427,0.07894736842105263,0.8375,0.9490131578947368
flash,f3,1000,4000,window_5,4,16,4,754,249,80,300.46106743085437,0.05622489959839357,0.9375,0.9781124497991968
pro,f3,1000,4000,window_5,0,16,4,846,157,40,298.80580557981006,0.06369426751592357,0.325,0.83328025477707
pro,f3,1000,4000,window_5,1,16,4,855,148,40,318.1576567375748,0.02702702702702703,0.025,0.7170608108108109
pro,f3,1000,4000,window_5,2,16,4,820,183,40,324.7222817120872,0.00546448087431694,0.25,0.8002732240437158
pro,f3,1000,4000,window_5,3,16,4,737,266,40,291.5222191682427,0.07894736842105263,0.475,0.8984022556390977
pro,f3,1000,4000,window_5,4,16,4,754,249,40,300.46106743085437,0.05622489959839357,0.125,0.7399598393574297
