method,model,arm,feature,chunk_size,window_name,start_mark,n_authors,n_human,n_llm,target_fpr,empirical_fpr,tpr,auc,empirical_fpr_ci_low,empirical_fpr_ci_high,tpr_ci_low,tpr_ci_high,auc_ci_low,auc_ci_high
out_of_author_crossfit,flash,old,f3,2000,prefix,0,20,485,400,0.05,0.05360824742268041,0.755,0.9524123711340207,0.0396035343637634,0.1398996879612605,0.305,0.955,0.8941011459608323,0.9852080250750525
out_of_author_crossfit,flash,old,f3,2000,late,2000,20,485,400,0.05,0.05360824742268041,0.8825,0.9689948453608247,0.039495953213061354,0.145759109940328,0.4075,0.9875,0.9195562681276185,0.9942935759448707
out_of_author_crossfit,flash,c2,f3,2000,prefix,0,20,485,400,0.05,0.05360824742268041,0.815,0.9590927835051546,0.039706783645369836,0.14474339430894292,0.3225,0.97,0.9013821373255368,0.9862775010605658
out_of_author_crossfit,flash,c2,f3,2000,late,2000,20,485,400,0.05,0.05360824742268041,0.8775,0.9690876288659794,0.039260850686160365,0.1364062219831448,0.37,0.9925,0.92147839518705,0.9918333379040656
out_of_author_crossfit,flash,c1_pooled,f3,2000,prefix,0,20,485,400,0.05,0.05360824742268041,0.755,0.9524123711340207,0.03801470366346794,0.14104803563212512,0.305,0.9575624999999997,0.8960894857433809,0.9852061486789904
out_of_author_crossfit,flash,c1_pooled,f3,2000,late,2000,20,485,400,0.05,0.05360824742268041,0.8825,0.9689948453608247,0.0392156862745098,0.13949569452286842,0.4049375000000001,0.985,0.9162265131956397,0.9932891260162602
out_of_author_crossfit,pro,old,f3,2000,prefix,0,20,485,200,0.05,0.05360824742268041,0.715,0.9308865979381443,0.03907821891806391,0.13825029223085392,0.27,0.94,0.8533947327717495,0.9770042049963925
out_of_author_crossfit,pro,old,f3,2000,late,2000,20,485,200,0.05,0.05360824742268041,0.875,0.9664845360824742,0.03956043956043956,0.14261836682534093,0.48,0.98,0.9121863354983779,0.9916732548318667
out_of_author_crossfit,pro,c2,f3,2000,prefix,0,20,485,200,0.05,0.05360824742268041,0.37,0.8417216494845361,0.039800005934542006,0.14029675786020535,0.15,0.625,0.741462708637174,0.9117317301773823
out_of_author_crossfit,pro,c2,f3,2000,late,2000,20,485,200,0.05,0.05360824742268041,0.475,0.8611443298969073,0.03862248266754706,0.14230839518668462,0.16,0.715,0.7644040051947505,0.9296076225222238
out_of_author_crossfit,pro,c1_pooled,f3,2000,prefix,0,20,485,200,0.05,0.05360824742268041,0.715,0.9308865979381443,0.039368972839069274,0.14868499385828068,0.27,0.935,0.8541086109979839,0.9758746136860115
out_of_author_crossfit,pro,c1_pooled,f3,2000,late,2000,20,485,200,0.05,0.05360824742268041,0.875,0.9664845360824742,0.04016490486257929,0.1396667045842335,0.49987500000000024,0.98,0.9103674781054292,0.9919817682317682
