model,window_index,quantity,contrast,n_authors,mean_difference,ci_low,ci_high,wilcoxon_p
flash,1,"share_""",c2_minus_c1_pooled,20,0.00018749999999999531,-0.007707562499999995,0.008127187499999978,0.4523754119873047
flash,1,"share_,",c2_minus_c1_pooled,20,0.04850499999999998,0.031079874999999976,0.06475318749999996,6.29425048828125e-05
flash,1,share_.,c2_minus_c1_pooled,20,-0.052315,-0.06213512499999997,-0.04245743749999998,1.9073486328125e-06
flash,1,share_;,c2_minus_c1_pooled,20,0.002082500000000001,0.0006074375000000006,0.0036675625000000016,0.03623390197753906
flash,1,share_!,c2_minus_c1_pooled,20,0.002725000000000001,0.0011623750000000013,0.004495125000000003,0.0042209625244140625
flash,1,share_?,c2_minus_c1_pooled,20,-0.0006825000000000006,-0.0019675624999999984,0.0006500625000000007,0.3299827575683594
flash,1,share_:,c2_minus_c1_pooled,20,-0.0005074999999999999,-0.0007624999999999998,-0.00026000000000000003,0.002201974432978304
flash,1,nearest_herbert_george_wells,c2_minus_c1_pooled,20,-0.1625,-0.23000000000000004,-0.1,0.0006434854148379289
flash,1,target_hit,c2_minus_c1_pooled,20,0.005000000000000003,-0.045,0.06250000000000001,0.9523030898373113
flash,5,"share_""",c2_minus_c1_pooled,20,0.012899999999999991,-0.008375312500000004,0.03694599999999999,0.6742229461669922
flash,5,"share_,",c2_minus_c1_pooled,20,0.050409999999999996,0.010604625,0.08543856249999995,0.023950576782226562
flash,5,share_.,c2_minus_c1_pooled,20,-0.0737675,-0.09103737499999999,-0.056969437499999984,3.814697265625e-06
flash,5,share_;,c2_minus_c1_pooled,20,-0.0018425000000000004,-0.0028676250000000004,-0.0007797500000000013,0.0042209625244140625
flash,5,share_!,c2_minus_c1_pooled,20,0.008422500000000001,0.0052974375,0.012155187500000001,8.844915021211902e-05
flash,5,share_?,c2_minus_c1_pooled,20,0.006097500000000001,0.003531187500000002,0.008540125000000003,0.000209808349609375
flash,5,share_:,c2_minus_c1_pooled,20,-0.0020399999999999997,-0.0025300625,-0.0015224375000000006,9.5367431640625e-06
flash,5,nearest_herbert_george_wells,c2_minus_c1_pooled,20,-0.2375,-0.3275,-0.14250000000000002,0.0006693334505837138
flash,5,target_hit,c2_minus_c1_pooled,20,0.0175,-0.0225,0.06999999999999999,0.8114368339860818
pro,1,"share_""",c2_minus_c1_pooled,20,0.017399999999999992,0.006834500000000004,0.028310624999999978,0.00485992431640625
pro,1,"share_,",c2_minus_c1_pooled,20,0.0022499999999999938,-0.009686000000000002,0.013775499999999975,0.7285060882568359
pro,1,share_.,c2_minus_c1_pooled,20,-0.03997500000000002,-0.04756600000000001,-0.031979750000000015,8.844915021211902e-05
pro,1,share_;,c2_minus_c1_pooled,20,0.005680000000000001,0.002984875000000001,0.009015749999999998,0.000292564384401933
pro,1,share_!,c2_minus_c1_pooled,20,0.010700000000000001,0.00671975,0.015175750000000003,1.9073486328125e-06
pro,1,share_?,c2_minus_c1_pooled,20,0.0037149999999999996,0.0022650000000000005,0.0053052499999999975,0.000292564384401933
pro,1,share_:,c2_minus_c1_pooled,20,0.00030000000000000003,-0.00027999999999999987,0.00097,0.7322807756840359
pro,1,nearest_herbert_george_wells,c2_minus_c1_pooled,20,-0.20500000000000002,-0.32999999999999996,-0.09,0.0062414098676655295
pro,1,target_hit,c2_minus_c1_pooled,20,0.075,0.009999999999999998,0.155,0.06460564001836622
pro,5,"share_""",c2_minus_c1_pooled,20,0.059465000000000004,0.03442187500000001,0.0818265,0.0003948211669921875
pro,5,"share_,",c2_minus_c1_pooled,20,0.036739999999999995,0.006974624999999998,0.06755137499999993,0.04405403137207031
pro,5,share_.,c2_minus_c1_pooled,20,-0.13219,-0.14753049999999995,-0.115944375,1.9073486328125e-06
pro,5,share_;,c2_minus_c1_pooled,20,0.009415000000000001,0.005814375,0.013145125,9.5367431640625e-06
pro,5,share_!,c2_minus_c1_pooled,20,0.017235000000000004,0.011549125,0.02399525,1.9073486328125e-06
pro,5,share_?,c2_minus_c1_pooled,20,0.008429999999999998,0.006269875,0.01075025,0.00012025782063870463
pro,5,share_:,c2_minus_c1_pooled,20,0.0008699999999999999,6.487500000000026e-05,0.0017499999999999998,0.12621414954905977
pro,5,nearest_herbert_george_wells,c2_minus_c1_pooled,20,-0.095,-0.24,0.06000000000000001,0.2589171342515342
pro,5,target_hit,c2_minus_c1_pooled,20,0.09000000000000001,0.0049999999999999975,0.2,0.14793090248368995
