model,arm,window_index,quantity,n_authors,estimate,ci_low,ci_high
flash,old,1,"share_""",20,0.136655,0.11836043749999997,0.154350625
flash,c2,1,"share_""",20,0.13684249999999995,0.1129665625,0.16139843750000002
flash,c1_pooled,1,"share_""",20,0.136655,0.11813575,0.15516831250000002
flash,old,1,"share_,",20,0.5282475000000001,0.494877,0.558213375
flash,c2,1,"share_,",20,0.5767524999999999,0.529863,0.618818875
flash,c1_pooled,1,"share_,",20,0.5282475000000001,0.4981851250000001,0.557895
flash,old,1,share_.,20,0.28950250000000005,0.2755460625,0.302824375
flash,c2,1,share_.,20,0.23718750000000002,0.21628606250000001,0.25924418750000006
flash,c1_pooled,1,share_.,20,0.28950250000000005,0.27573681250000004,0.3040378125
flash,old,1,share_;,20,0.008405000000000001,0.006249812500000001,0.0106028125
flash,c2,1,share_;,20,0.0104875,0.007392187500000001,0.01397025
flash,c1_pooled,1,share_;,20,0.008405000000000001,0.006307312500000001,0.010655375
flash,old,1,share_!,20,0.01164,0.007792250000000003,0.015957874999999996
flash,c2,1,share_!,20,0.014365000000000003,0.0098821875,0.01945
flash,c1_pooled,1,share_!,20,0.01164,0.0079099375,0.015977500000000002
flash,old,1,share_?,20,0.022910000000000007,0.020064500000000006,0.025910062500000004
flash,c2,1,share_?,20,0.022227500000000004,0.018859562500000003,0.0255656875
flash,c1_pooled,1,share_?,20,0.022910000000000007,0.019887375000000002,0.025810125000000007
flash,old,1,share_:,20,0.0023950000000000004,0.0019225000000000002,0.0028975
flash,c2,1,share_:,20,0.0018875000000000003,0.0014348750000000004,0.002420187499999999
flash,c1_pooled,1,share_:,20,0.0023950000000000004,0.0019125000000000004,0.0029401249999999996
flash,old,1,nearest_herbert_george_wells,20,0.24,0.1525,0.34249999999999997
flash,c2,1,nearest_herbert_george_wells,20,0.0775,0.025,0.14006249999999967
flash,c1_pooled,1,nearest_herbert_george_wells,20,0.24,0.14999999999999997,0.34249999999999997
flash,old,1,target_hit,20,0.12500000000000003,0.052500000000000005,0.21249999999999997
flash,c2,1,target_hit,20,0.13000000000000003,0.045000000000000005,0.23262499999999933
flash,c1_pooled,1,target_hit,20,0.12500000000000003,0.05,0.215
flash,old,5,"share_""",20,0.103855,0.09366231250000001,0.1130665
flash,c2,5,"share_""",20,0.11675499999999998,0.09409987499999999,0.138692
flash,c1_pooled,5,"share_""",20,0.103855,0.093500125,0.11322275
flash,old,5,"share_,",20,0.5453300000000001,0.5274388125,0.5635954375
flash,c2,5,"share_,",20,0.5957399999999999,0.5509218125,0.6394006250000001
flash,c1_pooled,5,"share_,",20,0.5453300000000001,0.527361875,0.5650035625000001
flash,old,5,share_.,20,0.32367500000000005,0.31380525000000004,0.3335106875
flash,c2,5,share_.,20,0.2499075,0.2283135,0.27213962499999994
flash,c1_pooled,5,share_.,20,0.32367500000000005,0.312540875,0.33388631250000006
flash,old,5,share_;,20,0.006849999999999999,0.005959937500000002,0.007767999999999998
flash,c2,5,share_;,20,0.005007500000000001,0.0037949375000000006,0.006262624999999999
flash,c1_pooled,5,share_;,20,0.006849999999999999,0.005869937500000001,0.0078000625
flash,old,5,share_!,20,0.0027925,0.0013923750000000006,0.004620000000000001
flash,c2,5,share_!,20,0.011215000000000001,0.007534750000000001,0.015319374999999991
flash,c1_pooled,5,share_!,20,0.0027925,0.0013923750000000004,0.004535437499999998
flash,old,5,share_?,20,0.013412499999999999,0.011634937500000003,0.015052687499999998
flash,c2,5,share_?,20,0.019510000000000003,0.016847187500000003,0.022470125000000007
flash,c1_pooled,5,share_?,20,0.013412499999999999,0.011539875000000002,0.015145
flash,old,5,share_:,20,0.0038400000000000005,0.0034100000000000007,0.004282562500000001
flash,c2,5,share_:,20,0.0018000000000000002,0.0013874375000000002,0.0022350625
flash,c1_pooled,5,share_:,20,0.0038400000000000005,0.003405000000000001,0.0042699999999999995
flash,old,5,nearest_herbert_george_wells,20,0.38499999999999995,0.31,0.4625
flash,c2,5,nearest_herbert_george_wells,20,0.14749999999999996,0.07000000000000002,0.24256249999999968
flash,c1_pooled,5,nearest_herbert_george_wells,20,0.38499999999999995,0.30993750000000003,0.4624999999999999
flash,old,5,target_hit,20,0.08,0.03250000000000001,0.13
flash,c2,5,target_hit,20,0.0975,0.027500000000000004,0.195
flash,c1_pooled,5,target_hit,20,0.08,0.03250000000000001,0.1375
pro,old,1,"share_""",20,0.17587500000000003,0.14987537500000003,0.19869537499999998
pro,c2,1,"share_""",20,0.193275,0.15886899999999998,0.22508675000000003
pro,c1_pooled,1,"share_""",20,0.17587500000000003,0.151832125,0.1996535
pro,old,1,"share_,",20,0.394635,0.367928375,0.42040225
pro,c2,1,"share_,",20,0.39688500000000004,0.363568375,0.42974225000000005
pro,c1_pooled,1,"share_,",20,0.394635,0.3687593750000001,0.418843625
pro,old,1,share_.,20,0.37872,0.36488925000000005,0.39254550000000005
pro,c2,1,share_.,20,0.33874499999999996,0.32076412499999996,0.35681012500000003
pro,c1_pooled,1,share_.,20,0.37872,0.36423900000000003,0.3927314999999999
pro,old,1,share_;,20,0.009819999999999999,0.006439874999999999,0.013131124999999993
pro,c2,1,share_;,20,0.015500000000000003,0.0097295,0.02200174999999999
pro,c1_pooled,1,share_;,20,0.009819999999999999,0.006489875,0.0132
pro,old,1,share_!,20,0.01555,0.01131475,0.020270125000000003
pro,c2,1,share_!,20,0.026250000000000002,0.018969000000000007,0.034665875
pro,c1_pooled,1,share_!,20,0.01555,0.011269875,0.020186499999999993
pro,old,1,share_?,20,0.022675000000000004,0.020479500000000005,0.024895000000000004
pro,c2,1,share_?,20,0.026390000000000004,0.02372925,0.02938025
pro,c1_pooled,1,share_?,20,0.022675000000000004,0.02041,0.02477025
pro,old,1,share_:,20,0.0023100000000000004,0.0016498750000000003,0.003095
pro,c2,1,share_:,20,0.0026100000000000003,0.001635,0.0037653749999999975
pro,c1_pooled,1,share_:,20,0.0023100000000000004,0.0016700000000000003,0.0030800000000000003
pro,old,1,nearest_herbert_george_wells,20,0.425,0.30500000000000005,0.54
pro,c2,1,nearest_herbert_george_wells,20,0.21999999999999997,0.12999999999999998,0.32999999999999996
pro,c1_pooled,1,nearest_herbert_george_wells,20,0.425,0.30999999999999994,0.54
pro,old,1,target_hit,20,0.11500000000000002,0.034999999999999996,0.22999999999999998
pro,c2,1,target_hit,20,0.19,0.08987500000000022,0.32
pro,c1_pooled,1,target_hit,20,0.11500000000000002,0.034999999999999996,0.22000000000000003
