condition,author_set,window_size,start_mark,end_mark,target_author,run_id,source_book,feature,window_index,target_kl,nearest_other_kl,target_margin,target_rank,target_hit,predicted_author,model,arm,offset,source_type
human_start,all_authors,1000,0,1000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,1,0.02845771986754958,0.01561993627451499,-0.01283778359303459,2,False,mary_shelley,human,human_start,0,human
human_start,all_authors,1000,1000,2000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,2,0.012181117147086504,0.016456981938238704,0.0042758647911522,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,2000,3000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,3,0.01659678943095627,0.013253597835133437,-0.0033431915958228343,3,False,mark_twain,human,human_start,0,human
human_start,all_authors,1000,3000,4000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,4,0.03158531257707977,0.03949379187997094,0.007908479302891167,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,4000,5000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,5,0.011073137891078975,0.02452440135435625,0.013451263463277276,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,0,1000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,1,0.0919761254463928,0.08575161591932766,-0.006224509527065145,2,False,mary_shelley,human,human_start,0,human
human_start,all_authors,1000,1000,2000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,2,0.05896237210933536,0.0626753249316647,0.003712952822329335,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,2000,3000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,3,0.04482732373866372,0.049057259914566456,0.0042299361759027335,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,3000,4000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,4,0.09639268213485977,0.12338947813718781,0.026996796002328044,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,4000,5000,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,5,0.04967873210887128,0.0809369279450238,0.03125819583615252,1,True,jane_austen,human,human_start,0,human
human_interior,all_authors,1000,6090,7090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,1,0.02619673064370899,0.024374429439136716,-0.0018223012045722742,2,False,charlotte_bronte,human,human_interior,6090,human
human_interior,all_authors,1000,7090,8090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,2,0.027301705511915308,0.01949213188078066,-0.007809573631134648,2,False,mary_shelley,human,human_interior,6090,human
human_interior,all_authors,1000,8090,9090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,3,0.005520268869419291,0.028499231518465357,0.022978962649046066,1,True,jane_austen,human,human_interior,6090,human
human_interior,all_authors,1000,9090,10090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,4,0.043895090010444233,0.019602350776113348,-0.024292739234330885,2,False,mary_shelley,human,human_interior,6090,human
human_interior,all_authors,1000,10090,11090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f1,5,0.015202770467592025,0.03561533233773238,0.02041256187014036,1,True,jane_austen,human,human_interior,6090,human
human_interior,all_authors,1000,6090,7090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,1,0.06678019327637152,0.06553204859568423,-0.001248144680687291,2,False,charlotte_bronte,human,human_interior,6090,human
human_interior,all_authors,1000,7090,8090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,2,0.06257871411108604,0.06598115737433417,0.0034024432632481366,1,True,jane_austen,human,human_interior,6090,human
human_interior,all_authors,1000,8090,9090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,3,0.021654218443657825,0.0714914619533533,0.049837243509695484,1,True,jane_austen,human,human_interior,6090,human
human_interior,all_authors,1000,9090,10090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,4,0.10915000847302612,0.08058069521325227,-0.028569313259773854,2,False,mary_shelley,human,human_interior,6090,human
human_interior,all_authors,1000,10090,11090,jane_austen,full_books/jane_austen_full.txt,full_books/jane_austen_full.txt,f3,5,0.04241940940667278,0.08425818350637747,0.04183877409970469,1,True,jane_austen,human,human_interior,6090,human
human_start,all_authors,1000,0,1000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,1,0.010323931649205444,0.023231946414677254,0.01290801476547181,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,1000,2000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,2,0.01808179025719515,0.031322360858922385,0.013240570601727234,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,2000,3000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,3,0.011464697003553653,0.016788539663318433,0.00532384265976478,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,3000,4000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,4,0.035207018753367236,0.01715628939589046,-0.018050729357476775,5,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,4000,5000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,5,0.04593269744202413,0.011819883343563445,-0.03411281409846068,8,False,louis_joseph_vance,human,human_start,0,human
