row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
delta,flash,old,f1,target_kl,1,400,greater,20,0.052712376492919134,0.026631082660310935,0.0795862774963842,0.00035381317138671875,
delta,flash,old,f1,target_margin,1,400,less,20,-0.04486250320138519,-0.06710435666715153,-0.02597620401979018,0.00013065338134765625,
delta,flash,old,f1,target_rank,1,400,greater,20,1.7349999999999999,0.6674375000000001,2.9725624999999996,0.004216183024291583,
delta,flash,old,f1,target_hit,1,400,less,20,-0.032499999999999994,-0.07006249999999992,0.0,0.05989746521295913,
delta,flash,old,f3,target_kl,1,400,greater,20,0.09163413043190578,0.04401113550129038,0.14256737349693735,0.0007162094116210938,
delta,flash,old,f3,target_margin,1,400,less,20,-0.08079004677617636,-0.12761412755698634,-0.04010793866512372,0.00019741058349609375,
delta,flash,old,f3,target_rank,1,400,greater,20,1.3875,0.28487500000000027,2.5325624999999996,0.015175339635253186,
delta,flash,old,f3,target_hit,1,400,less,20,-0.045,-0.10506249999999989,0.007562499999999661,0.10365863000049708,
delta,flash,c2,f1,target_kl,1,400,greater,20,0.025956875844162498,0.014470656680788946,0.03793656887610463,0.00013065338134765625,
delta,flash,c2,f1,target_margin,1,400,less,20,-0.012539341385476691,-0.021296395480865385,-0.004438912846666951,0.004154205322265625,
delta,flash,c2,f1,target_rank,1,400,greater,20,0.6799999999999999,-0.07506249999999977,1.3225624999999999,0.007656097412109375,
delta,flash,c2,f1,target_hit,1,400,less,20,-0.04,-0.10250000000000001,0.017499999999999998,0.15264890397601788,
delta,flash,c2,f3,target_kl,1,400,greater,20,0.03785148882706287,0.01875039023145311,0.0574298493411903,0.00024127960205078125,
delta,flash,c2,f3,target_margin,1,400,less,20,-0.020747167037069542,-0.03713776038937283,-0.0028408940063263085,0.007656097412109375,
delta,flash,c2,f3,target_rank,1,400,greater,20,0.8525,-0.03256249999999977,1.6901874999999988,0.0068583076027956685,
delta,flash,c2,f3,target_hit,1,400,less,20,-0.032499999999999994,-0.09749999999999999,0.025,0.19953759827411854,
delta,flash,c1_pooled,f1,target_kl,1,400,greater,20,0.052712376492919134,0.026495184998982624,0.08076916687712611,0.00035381317138671875,
delta,flash,c1_pooled,f1,target_margin,1,400,less,20,-0.04486250320138519,-0.06593580412166494,-0.024331036238901704,0.00013065338134765625,
delta,flash,c1_pooled,f1,target_rank,1,400,greater,20,1.7349999999999999,0.6573750000000002,2.927687499999999,0.004216183024291583,
delta,flash,c1_pooled,f1,target_hit,1,400,less,20,-0.032499999999999994,-0.07250000000000001,0.0024999999999999996,0.05989746521295913,
delta,flash,c1_pooled,f3,target_kl,1,400,greater,20,0.09163413043190578,0.04309319498125503,0.1413734728530847,0.0007162094116210938,
