chunk_size,feature,group,n_pairs,mean_sym_kl,median_sym_kl,ratio_to_human_same_book,ratio_to_human_across_book
1000,f1,human_same_book,12125,0.034000321284830826,0.02185453978604571,1.0,0.5539261999698284
1000,f1,human_across_book,22169,0.06138059778844687,0.03779232808020143,1.8052946404312862,1.0
1000,f3,human_same_book,12125,0.08833991692851081,0.06798072610206578,1.0,0.6583249513434266
1000,f3,human_across_book,22169,0.1341889240993188,0.10205616611681806,1.519006681972673,1.0
2000,f1,human_same_book,2757,0.020528300581839017,0.01350977108945332,1.0,0.42255115301587864
2000,f1,human_across_book,5242,0.0485818117766859,0.027836217771335173,2.366577378532019,1.0
2000,f3,human_same_book,2757,0.05580622019694188,0.04311012056651197,1.0,0.5193087325364577
2000,f3,human_across_book,5242,0.10746251064249926,0.07679247104909825,1.9256367885741181,1.0
4000,f1,human_same_book,562,0.012682925390427667,0.008757820968806333,1.0,0.3031236993414948
4000,f1,human_across_book,1170,0.04184075813926798,0.02213978821523537,3.2989832275483497,1.0
4000,f3,human_same_book,562,0.03568141957001429,0.028550376465067955,1.0,0.3708725243813665
4000,f3,human_across_book,1170,0.09620939062426542,0.06218930529345641,2.6963442537784346,1.0
