author,document_correct,document_n,document_accuracy_pct,chunk_size,chunk_correct,chunk_n,chunk_accuracy_pct,matched_panel_D_over_C,passes_gate
mildred_wirt,3,3,100.0,2000,14,14,100.0,3.496439814725611,True
robert_sidney_bowen,2,3,66.66666666666667,2000,8,12,66.66666666666667,1.4323488824119466,True
luis_senarens,3,3,100.0,2000,3,9,33.333333333333336,5.372622424073337,True
john_c_hutcheson,3,3,100.0,2000,23,23,100.0,3.1769636078505417,True
harold_l_goodwin,3,3,100.0,2000,12,12,100.0,3.334482601507307,True
kathleen_thompson_norris,3,3,100.0,2000,22,26,84.61538461538461,2.126087592865348,True
arthur_scott_bailey,3,3,100.0,2000,3,3,100.0,2.2650826427231823,True
louis_joseph_vance,3,3,100.0,2000,16,21,76.19047619047619,1.443674330686461,True
susan_warner,3,3,100.0,2000,59,62,95.16129032258064,3.1569872335653337,True
ethel_m_dell,3,3,100.0,2000,37,39,94.87179487179488,2.5767829628638865,True
