feature,author,n_books,n_marks,consistency_C,nearest_other_D,nearest_other,margin_D_over_C,between_author_baseline,C_over_baseline
f1,jane_austen,3,67109,0.00933768165477449,0.017263893781911482,mark_twain,1.8488415454904918,0.14969517520367373,0.06237797338537956
f1,herbert_george_wells,3,23627,0.07213788054031063,0.003976182966290569,oscar_wilde,0.0551192097204558,0.14969517520367373,0.48189850101822296
f1,agnes_may_fleming,3,68607,0.03250584369789071,0.014559941950163876,louis_joseph_vance,0.4479176755257906,0.14969517520367373,0.2171469030559174
f1,charles_dickens,3,70598,0.018862247101405587,0.015498242962787814,louis_joseph_vance,0.8216541157300875,0.14969517520367373,0.12600437573049236
f1,mark_twain,3,52087,0.02830036895732538,0.01424770764682914,charlotte_bronte,0.5034460034183126,0.14969517520367373,0.18905331396833724
f1,arthur_conan_doyle,3,37418,0.01328221542304431,0.03838232230777118,ethel_m_dell,2.8897530333063877,0.14969517520367373,0.08872841362437141
f1,mary_shelley,3,42463,0.07291311171168265,0.05519057409435591,jane_austen,0.7569362052821687,0.14969517520367373,0.4870772328665757
f1,charlotte_bronte,3,122586,0.07621113027740128,0.016966519473944345,mark_twain,0.22262521776265257,0.14969517520367373,0.509108795081132
f1,oscar_wilde,3,22920,0.21439810573274007,0.0040422600575835965,herbert_george_wells,0.018853991474264763,0.14969517520367373,1.432231235515989
f1,joseph_conrad,3,54951,0.051113143904017666,0.013606831380399396,herbert_george_wells,0.2662100262498205,0.14969517520367373,0.34144817182299725
f1,mildred_wirt,3,30836,0.006645859383830038,0.03114672178171564,ethel_m_dell,4.686635690411741,0.14969517520367373,0.04439594913321521
f1,robert_sidney_bowen,3,29255,0.013143285232714403,0.013546170507229578,ethel_m_dell,1.0306533159238125,0.14969517520367373,0.08780032632869952
f1,luis_senarens,3,19697,0.00956935835315882,0.05690890619880987,agnes_may_fleming,5.9469929015694545,0.14969517520367373,0.06392562980162085
f1,john_c_hutcheson,3,50693,0.009077043207776593,0.026029482238748958,charles_dickens,2.8676168707061644,0.14969517520367373,0.0606368454789973
f1,harold_l_goodwin,3,25310,0.004602594765011334,0.021572527033183284,ethel_m_dell,4.6870359296404756,0.14969517520367373,0.030746446962963837
f1,kathleen_thompson_norris,3,55096,0.00634974374916697,0.013729949622006934,agnes_may_fleming,2.1622840486764807,0.14969517520367373,0.042417825026942746
f1,arthur_scott_bailey,3,7836,0.013383784842529499,0.0369177250106402,harold_l_goodwin,2.7583919978545364,0.14969517520367373,0.0894069219286437
f1,louis_joseph_vance,3,45444,0.010626366777270831,0.016185816334263126,charles_dickens,1.5231750111320859,0.14969517520367373,0.07098670189478522
f1,susan_warner,3,128872,0.013120210779350078,0.053376779730011745,louis_joseph_vance,4.068286754510191,0.14969517520367373,0.08764618339568295
f1,ethel_m_dell,3,80963,0.007538975932097111,0.01611517111544164,robert_sidney_bowen,2.1375809208823,0.14969517520367373,0.05036218383017126
f3,jane_austen,3,67109,0.02837758777556164,0.06499763707355442,mark_twain,2.29045673605596,0.3074047122963423,0.09231344426563397
f3,herbert_george_wells,3,23627,0.1595832005848932,0.03677896142708832,oscar_wilde,0.23046887950792214,0.3074047122963423,0.5191306255287746
f3,agnes_may_fleming,3,68607,0.09409820799357972,0.04223426897696982,charles_dickens,0.4488318096328832,0.3074047122963423,0.3061052880115506
f3,charles_dickens,3,70598,0.051400675522920374,0.039518420718995216,louis_joseph_vance,0.7688307656846519,0.3074047122963423,0.16720848271632682
f3,mark_twain,3,52087,0.0624292313213926,0.07796801400625179,jane_austen,1.2489023548097815,0.3074047122963423,0.20308482213899823
f3,arthur_conan_doyle,3,37418,0.044883187262354046,0.08707398849431085,agnes_may_fleming,1.940013484009958,0.3074047122963423,0.1460068290010013
f3,mary_shelley,3,42463,0.15589349291978868,0.11406772112626751,jane_austen,0.7317029017045527,0.3074047122963423,0.5071278568088613
f3,charlotte_bronte,3,122586,0.16225135962595005,0.07377942727616577,louis_joseph_vance,0.45472301400897275,0.3074047122963423,0.5278102551321254
f3,oscar_wilde,3,22920,0.4541714811118673,0.03808304482611567,herbert_george_wells,0.08385168688461839,0.3074047122963423,1.477438253041612
f3,joseph_conrad,3,54951,0.13180852291957976,0.04387021482137585,herbert_george_wells,0.3328329143642885,0.3074047122963423,0.42877847231084265
f3,mildred_wirt,3,30836,0.021918256805589374,0.07663586576444327,ethel_m_dell,3.496439814725611,0.3074047122963423,0.07130097857595584
f3,robert_sidney_bowen,3,29255,0.031620867534940526,0.045292114274568265,ethel_m_dell,1.4323488824119466,0.3074047122963423,0.10286396489738121
f3,luis_senarens,3,19697,0.03359436953795869,0.1804898631022431,herbert_george_wells,5.372622424073337,0.3074047122963423,0.10928384697490669
f3,john_c_hutcheson,3,50693,0.02277135214890826,0.07234375707863076,charles_dickens,3.1769636078505417,0.3074047122963423,0.07407613233643721
f3,harold_l_goodwin,3,25310,0.016652453162696482,0.055527315343426746,ethel_m_dell,3.334482601507307,0.3074047122963423,0.05417110570069366
f3,kathleen_thompson_norris,3,55096,0.020606029583660587,0.04381022383603709,agnes_may_fleming,2.126087592865348,0.3074047122963423,0.06703225018813666
f3,arthur_scott_bailey,3,7836,0.04032915342993936,0.09134886542987573,ethel_m_dell,2.2650826427231823,0.3074047122963423,0.13119237219454694
f3,louis_joseph_vance,3,45444,0.030675056572226734,0.044284791765678753,charles_dickens,1.443674330686461,0.3074047122963423,0.09978720346568912
