fold,state,n_training_books,n_training_marks,state_marks,state_mark_fraction,n_blocks,mean_dwell_marks,median_dwell_marks,dwell_q90_marks,initial_state_probability
0,narration,48,871858,384719,0.441263370870027,57178,6.728444506628423,2.0,14.0,0.9489795918367347
0,dialogue,48,871858,487139,0.558736629129973,57140,8.525358767938396,5.0,16.0,0.05102040816326531
1,narration,48,881391,394396,0.44746996508927367,57818,6.82133591615068,2.0,14.0,0.9081632653061225
1,dialogue,48,881391,486995,0.5525300349107264,57784,8.427852000553786,5.0,15.0,0.09183673469387756
2,narration,48,846418,358596,0.4236630128376287,57834,6.200435729847494,2.0,13.0,0.9081632653061225
2,dialogue,48,846418,487822,0.5763369871623714,57801,8.439680974377605,5.0,15.0,0.09183673469387756
3,narration,48,763285,337940,0.442744191226082,48499,6.967978721210747,2.0,15.0,0.9081632653061225
3,dialogue,48,763285,425345,0.557255808773918,48466,8.776152354227706,5.0,15.0,0.09183673469387756
4,narration,48,782520,327141,0.41806088023309307,52403,6.242791443237983,2.0,14.0,0.9489795918367347
4,dialogue,48,782520,455379,0.5819391197669069,52365,8.696247493554855,5.0,16.0,0.05102040816326531
