phase,model,reference,replicate,fold,design_author,design_target_book,design_target_chunk,sampling_frame_chunks,dwell_scale,contrast,chunk_size,feature,g,raw_delta,excess_delta
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:1,2,jane_austen,full_books/jane_austen_full.txt,1,1003,,,1000,f1,56.9272435623229,0.02846362178116145,0.02396362178116145
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:1,2,jane_austen,full_books/jane_austen_full.txt,1,1003,,,1000,f3,143.6121783033759,0.07187796711880676,0.026806089151687956
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:2,2,jane_austen,full_books/jane_austen_full.txt,2,1003,,,1000,f1,24.37547415939916,0.01218773707969958,0.00768773707969958
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:2,2,jane_austen,full_books/jane_austen_full.txt,2,1003,,,1000,f3,105.68703674659656,0.05289641478808637,0.00784351837329828
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:3,2,jane_austen,full_books/jane_austen_full.txt,3,1003,,,1000,f1,33.22157915183257,0.016610789575916284,0.012110789575916285
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:3,2,jane_austen,full_books/jane_austen_full.txt,3,1003,,,1000,f3,77.07056363804664,0.03857385567469802,-0.006464718180976682
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:4,2,jane_austen,full_books/jane_austen_full.txt,4,1003,,,1000,f1,62.976034082396495,0.031488017041198246,0.02698801704119825
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:4,2,jane_austen,full_books/jane_austen_full.txt,4,1003,,,1000,f3,156.92022015627987,0.0785386487268668,0.03346011007813993
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:5,2,jane_austen,full_books/jane_austen_full.txt,5,1003,,,1000,f1,22.11551181666326,0.011057755908331631,0.006557755908331631
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:5,2,jane_austen,full_books/jane_austen_full.txt,5,1003,,,1000,f3,97.36632319613786,0.048731893491560485,0.003683161598068928
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:6,2,jane_austen,full_books/jane_austen_full.txt,6,1003,,,1000,f1,28.48994130557513,0.014244970652787564,0.009744970652787564
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:6,2,jane_austen,full_books/jane_austen_full.txt,6,1003,,,1000,f3,93.67385702137936,0.0468838123230127,0.0018369285106896811
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:7,2,jane_austen,full_books/jane_austen_full.txt,7,1003,,,1000,f1,38.02571139973676,0.019012855699868377,0.014512855699868378
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:7,2,jane_austen,full_books/jane_austen_full.txt,7,1003,,,1000,f3,90.66886842565229,0.045379814026852996,0.0003344342128261459
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:8,2,jane_austen,full_books/jane_austen_full.txt,8,1003,,,1000,f1,58.92516025106801,0.029462580125534002,0.024962580125534005
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:8,2,jane_austen,full_books/jane_austen_full.txt,8,1003,,,1000,f3,101.64310740952124,0.05087242613089151,0.005821553704760617
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:9,2,jane_austen,full_books/jane_austen_full.txt,9,1003,,,1000,f1,15.957743149955375,0.007978871574977687,0.0034788715749776876
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:9,2,jane_austen,full_books/jane_austen_full.txt,9,1003,,,1000,f3,59.82799767739424,0.0299439427814786,-0.015086001161302882
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:10,2,jane_austen,full_books/jane_austen_full.txt,10,1003,,,1000,f1,71.79509092048383,0.03589754546024192,0.03139754546024191
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:10,2,jane_austen,full_books/jane_austen_full.txt,10,1003,,,1000,f3,126.78880876585944,0.0634578622451749,0.018394404382929722
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:11,2,jane_austen,full_books/jane_austen_full.txt,11,1003,,,1000,f1,28.319586120210435,0.014159793060105218,0.009659793060105218
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:11,2,jane_austen,full_books/jane_austen_full.txt,11,1003,,,1000,f3,80.70402031548959,0.040392402560305095,-0.0046479898422552065
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:12,2,jane_austen,full_books/jane_austen_full.txt,12,1003,,,1000,f1,20.571769010247962,0.010285884505123981,0.0057858845051239815
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:12,2,jane_austen,full_books/jane_austen_full.txt,12,1003,,,1000,f3,62.19559516723464,0.03112892651012745,-0.013902202416382679
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:13,2,jane_austen,full_books/jane_austen_full.txt,13,1003,,,1000,f1,56.214710768012864,0.02810735538400643,0.02360735538400643
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:13,2,jane_austen,full_books/jane_austen_full.txt,13,1003,,,1000,f3,130.37474555484187,0.06525262540282376,0.020187372777420932
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:14,2,jane_austen,full_books/jane_austen_full.txt,14,1003,,,1000,f1,61.2698945460706,0.030634947273035302,0.0261349472730353
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:14,2,jane_austen,full_books/jane_austen_full.txt,14,1003,,,1000,f3,147.78517951440276,0.0739665563135149,0.028892589757201378
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:15,2,jane_austen,full_books/jane_austen_full.txt,15,1003,,,1000,f1,42.978770079770946,0.021489385039885473,0.016989385039885473
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:15,2,jane_austen,full_books/jane_austen_full.txt,15,1003,,,1000,f3,93.16560738270906,0.04662943312447901,0.0015828036913545277
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:16,2,jane_austen,full_books/jane_austen_full.txt,16,1003,,,1000,f1,64.89556110264866,0.03244778055132433,0.02794778055132433
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:16,2,jane_austen,full_books/jane_austen_full.txt,16,1003,,,1000,f3,107.77284628887658,0.05394036350794624,0.008886423144438289
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:17,2,jane_austen,full_books/jane_austen_full.txt,17,1003,,,1000,f1,22.087498019628576,0.011043749009814289,0.006543749009814288
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:17,2,jane_austen,full_books/jane_austen_full.txt,17,1003,,,1000,f3,92.66555707962567,0.046379157697510345,0.0013327785398128357
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:18,2,jane_austen,full_books/jane_austen_full.txt,18,1003,,,1000,f1,33.71330970263759,0.016856654851318795,0.012356654851318793
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:18,2,jane_austen,full_books/jane_austen_full.txt,18,1003,,,1000,f3,87.80666972877252,0.04394728214653279,-0.0010966651356137404
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:19,2,jane_austen,full_books/jane_austen_full.txt,19,1003,,,1000,f1,30.32656742785146,0.01516328371392573,0.01066328371392573
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:19,2,jane_austen,full_books/jane_austen_full.txt,19,1003,,,1000,f3,84.538439598795,0.04231153133072822,-0.002730780200602503
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:20,2,jane_austen,full_books/jane_austen_full.txt,20,1003,,,1000,f1,69.68868549494468,0.03484434274747234,0.03034434274747234
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:20,2,jane_austen,full_books/jane_austen_full.txt,20,1003,,,1000,f3,177.11998762444895,0.08864864245467916,0.04355999381222447
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:21,2,jane_austen,full_books/jane_austen_full.txt,21,1003,,,1000,f1,40.98044072686524,0.02049022036343262,0.01599022036343262
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:21,2,jane_austen,full_books/jane_austen_full.txt,21,1003,,,1000,f3,96.0264578263497,0.04806129020337823,0.0030132289131748493
observed,human,estimated,jane_austen:jane_austen_full.txt:1000:22,2,jane_austen,full_books/jane_austen_full.txt,22,1003,,,1000,f1,52.0274858184494,0.0260137429092247,0.0215137429092247
