phase,model,reference,dwell_scale,contrast,feature,n_chunk_sizes,fixed_intercept_rho,implied_delta
baseline,iid,estimated,,,f1,3,5.1265158804706796e-05,0.00023069321462118058
baseline,iid,estimated,,,f3,3,-4.8838418906281126e-05,-0.002197728850782651
baseline,iid,oracle,,,f1,3,1.7299845256699613e-05,7.784930365514826e-05
baseline,iid,oracle,,,f3,3,-7.579957949693337e-05,-0.0034109810773620018
baseline,markov,estimated,,,f1,3,9.024279089433815e-05,0.00040609255902452165
baseline,markov,estimated,,,f3,3,-6.02037370129945e-05,-0.0027091681655847526
baseline,markov,oracle,,,f1,3,5.376958877478203e-05,0.00024196314948651912
baseline,markov,oracle,,,f3,3,-8.859400152703306e-05,-0.003986730068716487
observed,human,estimated,,,f1,3,0.005614671147420764,0.025266020163393438
observed,human,estimated,,,f3,3,0.0006292088575407687,0.02831439858933459
sweep,two_state_hsmm,estimated,0.25,0.0,f1,3,8.006574559789764e-05,0.00036029585519053943
sweep,two_state_hsmm,estimated,0.25,0.0,f3,3,-6.569370458747925e-05,-0.002956216706436566
sweep,two_state_hsmm,estimated,0.25,0.25,f1,3,8.37131961290153e-05,0.0003767093825805688
sweep,two_state_hsmm,estimated,0.25,0.25,f3,3,-5.955126232958221e-05,-0.0026798068048311994
sweep,two_state_hsmm,estimated,0.25,0.5,f1,3,0.00011728149166786287,0.0005277667125053829
sweep,two_state_hsmm,estimated,0.25,0.5,f3,3,-4.9755201596070316e-05,-0.002238984071823164
sweep,two_state_hsmm,estimated,0.25,0.75,f1,3,0.000143241250130698,0.000644585625588141
sweep,two_state_hsmm,estimated,0.25,0.75,f3,3,-5.032750450480585e-05,-0.0022647377027162634
sweep,two_state_hsmm,estimated,0.25,1.0,f1,3,0.00017023821112465562,0.0007660719500609503
sweep,two_state_hsmm,estimated,0.25,1.0,f3,3,-4.073150192660164e-05,-0.0018329175866970738
sweep,two_state_hsmm,estimated,0.25,1.25,f1,3,0.00017673411974318445,0.0007953035388443301
sweep,two_state_hsmm,estimated,0.25,1.25,f3,3,-3.702274339762489e-05,-0.0016660234528931201
sweep,two_state_hsmm,estimated,0.25,1.5,f1,3,0.00020408346183144784,0.0009183755782415154
sweep,two_state_hsmm,estimated,0.25,1.5,f3,3,-3.2636250464226904e-05,-0.0014686312708902106
sweep,two_state_hsmm,estimated,0.25,2.0,f1,3,0.000255898574177516,0.0011515435837988219
sweep,two_state_hsmm,estimated,0.25,2.0,f3,3,-1.9464243011994586e-05,-0.0008758909355397564
sweep,two_state_hsmm,estimated,0.5,0.0,f1,3,7.436512279315093e-05,0.0003346430525691792
sweep,two_state_hsmm,estimated,0.5,0.0,f3,3,-6.239282722894594e-05,-0.0028076772253025676
sweep,two_state_hsmm,estimated,0.5,0.25,f1,3,0.00011477541401693074,0.0005164893630761883
sweep,two_state_hsmm,estimated,0.5,0.25,f3,3,-5.931254716896779e-05,-0.002669064622603551
sweep,two_state_hsmm,estimated,0.5,0.5,f1,3,0.00019410575726124996,0.0008734759076756248
sweep,two_state_hsmm,estimated,0.5,0.5,f3,3,-4.8239716871451276e-05,-0.0021707872592153076
sweep,two_state_hsmm,estimated,0.5,0.75,f1,3,0.00026024589456222143,0.0011711065255299964
sweep,two_state_hsmm,estimated,0.5,0.75,f3,3,-3.769464692673997e-05,-0.0016962591117032986
sweep,two_state_hsmm,estimated,0.5,1.0,f1,3,0.00030772503620453656,0.0013847626629204146
sweep,two_state_hsmm,estimated,0.5,1.0,f3,3,-3.5134317750482155e-05,-0.001581044298771697
sweep,two_state_hsmm,estimated,0.5,1.25,f1,3,0.0003226626967454173,0.001451982135354378
sweep,two_state_hsmm,estimated,0.5,1.25,f3,3,-3.122892698453992e-05,-0.0014053017143042966
sweep,two_state_hsmm,estimated,0.5,1.5,f1,3,0.00043782575542034735,0.001970215899391563
