phase,model,reference,dwell_scale,contrast,chunk_size,feature,n_observations,mean_g,uncertainty_method,cluster_unit,se_mean_g,mean_g_ci_low,mean_g_ci_high,phi_ci_low,phi_ci_high,g_q025,g_q975,degrees_of_freedom,phi,rho_at_n,implied_delta_at_n,mean_raw_delta,mean_excess_delta,excess_delta_cv,excess_delta_skew,raw_delta_gamma_shape,raw_delta_gamma_scale,raw_delta_gamma_ks_d
baseline,iid,estimated,,,1000,f1,250,9.258421805370915,monte_carlo_standard_error,independent_simulation_replicate,0.2605099864401705,8.74782223194818,9.76902137879365,0.9719802479942423,1.085446819865961,2.877902079477286,17.769964962265725,9,1.0287135339301017,2.8713533930101674e-05,0.00012921090268545754,0.0046292109026854576,0.00012921090268545765,15.93915244861213,0.6842817808426702,,,
baseline,iid,estimated,,,1000,f3,250,61.8047388927939,monte_carlo_standard_error,independent_simulation_replicate,0.7915755746216309,60.2532507665355,63.3562270190523,0.6694805640726167,0.70395807798947,41.233561925602736,89.47865695885045,90,0.6867193210310434,-0.0003132806789689566,-0.01409763055360305,0.030933302749146095,-0.01409763055360305,nan,0.40809725253182555,,,
baseline,iid,estimated,,,2000,f1,250,10.16289678566593,monte_carlo_standard_error,independent_simulation_replicate,0.2876449676340271,9.599112649103237,10.726680922228624,1.0665680721225819,1.1918534358031805,3.7099761878836763,20.14096917769305,9,1.129210753962881,6.460537698144053e-05,0.0002907241964164826,0.002540724196416483,0.00029072419641648276,3.910980176491123,0.9720447161322202,,,
baseline,iid,estimated,,,2000,f3,250,71.66106312115463,monte_carlo_standard_error,independent_simulation_replicate,0.6869841829291174,70.31457412261355,73.0075521196957,0.7812730458068172,0.8111950235521744,51.35493385444228,93.62605465698265,90,0.7962340346794958,-0.00010188298266025209,-0.004584734219711344,0.017924227894235773,-0.0045847342197113455,nan,0.2809325313652514,,,
baseline,iid,estimated,,,4000,f1,250,10.776224909346704,monte_carlo_standard_error,independent_simulation_replicate,0.32403233541241017,10.14112153193838,11.411328286755028,1.1267912813264866,1.267925365195003,3.158104936108996,23.6263082140607,9,1.1973583232607448,4.933958081518619e-05,0.00022202811366833796,0.0013470281136683379,0.00022202811366833815,2.884432624649231,1.148489691273555,,,
baseline,iid,estimated,,,4000,f3,250,83.14213078300638,monte_carlo_standard_error,independent_simulation_replicate,0.9124976893867671,81.35363531180832,84.93062625420444,0.9039292812423146,0.943673625046716,60.77116069806733,112.96329699353875,90,0.9238014531445153,-1.9049636713871165e-05,-0.0008572336521242025,0.01039536518917309,-0.0008572336521242033,nan,0.5334844131761012,,,
baseline,iid,oracle,,,1000,f1,250,8.922820177386072,monte_carlo_standard_error,independent_simulation_replicate,0.24964564089495822,8.433514721231953,9.41212563354019,0.9370571912479948,1.0457917370600212,3.0702480544819544,17.35793865930852,9,0.991424464154008,-8.575535845992022e-06,-3.8589911306964094e-05,0.004461410088693036,-3.858991130696446e-05,nan,0.7184019110706729,,,
baseline,iid,oracle,,,1000,f3,250,59.35492969099158,monte_carlo_standard_error,independent_simulation_replicate,0.7537334629859276,57.877612103539164,60.832247278444,0.6430845789282129,0.6759138586493778,39.752041716603706,85.88818121700373,90,0.6594992187887954,-0.00034050078121120465,-0.015322535154504208,0.0297071720175133,-0.01532253515450421,nan,0.4153512003071816,,,
baseline,iid,oracle,,,2000,f1,250,9.46085969362275,monte_carlo_standard_error,independent_simulation_replicate,0.262596912708437,8.946169744714213,9.975549642531286,0.9940188605238015,1.1083944047256984,3.215749372238474,19.38662210145234,9,1.05120663262475,2.5603316312375e-05,0.0001152149234056874,0.002365214923405687,0.00011521492340568725,9.00929677923656,0.946625341895323,,,
baseline,iid,oracle,,,2000,f3,250,66.55681739551545,monte_carlo_standard_error,independent_simulation_replicate,0.6472489154705513,65.28820952119317,67.82542526983774,0.7254245502354796,0.7536158363315304,48.0164275528127,87.60923987924073,90,0.739520193283505,-0.00013023990335824748,-0.005860795651121137,0.01664752811293533,-0.005860795651121136,nan,0.3657266711973634,,,
baseline,iid,oracle,,,4000,f1,250,9.606282797221164,monte_carlo_standard_error,independent_simulation_replicate,0.28833376701440233,9.041148613872936,10.171416980569392,1.004572068208104,1.1301574422854879,3.080486585139961,19.622284304096432,9,1.067364755246796,1.6841188811698993e-05,7.57853496526455e-05,0.0012007853496526452,7.578534965264525e-05,7.519522525469514,1.340492307062662,,,
baseline,iid,oracle,,,4000,f3,250,73.56755756719336,monte_carlo_standard_error,independent_simulation_replicate,0.709972739535791,72.17601099770322,74.95910413668351,0.801955677752258,0.832878934852039,53.167134253255405,96.28020885114192,90,0.8174173063021485,-4.564567342446288e-05,-0.00205405530410083,0.009198244256963412,-0.002054055304100829,nan,0.3259873199337117,,,
baseline,markov,estimated,,,1000,f1,250,10.096761252249776,monte_carlo_standard_error,independent_simulation_replicate,0.274536188005167,9.558670323759648,10.634852180739903,1.0620744804177387,1.1816502423044337,3.6679197868532185,20.577398043527257,9,1.121862361361086,0.00012186236136108608,0.0005483806261248878,0.005048380626124887,0.0005483806261248874,3.957833359154871,0.97791350317846,,,
baseline,markov,estimated,,,1000,f3,250,58.075177761933574,monte_carlo_standard_error,independent_simulation_replicate,0.6837295578374494,56.73506782857217,59.41528769529498,0.6303896425396908,0.6601698632810553,39.2364243493787,80.97938213427179,90,0.6452797529103731,-0.0003547202470896269,-0.015962411119033213,0.02906665553650329,-0.015962411119033213,nan,0.3467594334427589,,,
baseline,markov,estimated,,,2000,f1,250,11.212040148659224,monte_carlo_standard_error,independent_simulation_replicate,0.3484096909840494,10.529157154330488,11.89492314298796,1.1699063504811653,1.3216581269986623,3.3651183454085447,23.702615603558517,9,1.2457822387399138,0.0001228911193699569,0.0005530100371648059,0.0028030100371648054,0.0005530100371648056,2.4903892071146165,1.2053212786534062,,,
baseline,markov,estimated,,,2000,f3,250,68.43193382392589,monte_carlo_standard_error,independent_simulation_replicate,0.7352909876516661,66.99076348812862,69.87310415972316,0.7443418165347625,0.776367823996924,48.20239393239154,92.81320525464864,90,0.7603548202658432,-0.00011982258986707839,-0.005392016544018528,0.017116541726844896,-0.005392016544018524,nan,0.3737937415242706,,,
baseline,markov,estimated,,,4000,f1,250,11.883761482365422,monte_carlo_standard_error,independent_simulation_replicate,0.3929710195229895,11.113538284100363,12.653984680630481,1.2348375871222625,1.4059982978478311,2.8366048980134106,26.46821045679781,9,1.3204179424850468,8.010448562126171e-05,0.0003604701852956778,0.0014854701852956777,0.00036047018529567783,2.1546225021214704,0.7867794739263564,,,
baseline,markov,estimated,,,4000,f3,250,80.31897290891376,monte_carlo_standard_error,independent_simulation_replicate,0.9214711791646794,78.512889397751,82.12505642007653,0.8723654377527889,0.9125006268897392,57.6045124358721,115.93060775007268,90,0.892433032321264,-2.6891741919683994e-05,-0.0012101283863857795,0.010042382209166513,-0.0012101283863857777,nan,0.6073132966569845,,,
baseline,markov,oracle,,,1000,f1,250,9.786674823302679,monte_carlo_standard_error,independent_simulation_replicate,0.2653431640858889,9.266602221694336,10.306747424911022,1.0296224690771485,1.1451941583234468,3.508596844791537,20.675118156705892,9,1.0874083137002977,8.740831370029767e-05,0.0003933374116513395,0.004893337411651339,0.00039333741165133905,5.333135974432695,0.9305126730154963,,,
baseline,markov,oracle,,,1000,f3,250,55.80454999416757,monte_carlo_standard_error,independent_simulation_replicate,0.6381844928481125,54.55370838818527,57.055391600149875,0.6061523154242808,0.6339487955572208,38.17960542521813,77.69462605868218,90,0.6200505554907508,-0.00037994944450924916,-0.017097725002916214,0.027930205202286076,-0.01709772500291621,nan,0.24648993038399564,,,
baseline,markov,oracle,,,2000,f1,250,10.619563610494566,monte_carlo_standard_error,independent_simulation_replicate,0.32862347834400574,9.975461592940315,11.263665628048818,1.1083846214378128,1.2515184031165354,3.3844701351071325,22.962678176290837,9,1.179951512277174,8.9975756138587e-05,0.00040489090262364156,0.002654890902623642,0.0004048909026236418,3.2082675772664953,0.8192420026526921,,,
baseline,markov,oracle,,,2000,f3,250,63.50498853596969,monte_carlo_standard_error,independent_simulation_replicate,0.6707188947123226,62.190379502333535,64.81959756960583,0.6910042166925948,0.7202177507733981,46.124862998456486,86.90178075845516,90,0.7056109837329966,-0.0001471945081335017,-0.006623752866007578,0.015884189228606724,-0.00662375286600758,nan,0.3943860032643875,,,
baseline,markov,oracle,,,4000,f1,250,10.534162558535499,monte_carlo_standard_error,independent_simulation_replicate,0.3304329375882297,9.886514000862569,11.18181111620843,1.0985015556513966,1.242423457356492,2.4611717705046234,22.539580663804617,9,1.1704625065039442,4.2615626625986056e-05,0.00019177031981693738,0.0013167703198169373,0.0001917703198169375,3.4055084023056352,0.9608221852662151,,,
baseline,markov,oracle,,,4000,f3,250,69.93570251195014,monte_carlo_standard_error,independent_simulation_replicate,0.7315541175954974,68.50185644146296,71.36954858243732,0.7611317382384774,0.7929949842493035,49.87074511035155,95.24623752163315,90,0.7770633612438904,-5.5734159689027394e-05,-0.0025080371860062324,0.008744148851206569,-0.0025080371860062333,nan,0.35241206436493444,,,
observed,human,estimated,,,1000,f1,1003,77.16577210248299,author_cluster_bootstrap,author,14.267453332642738,52.22813581792049,108.11202846499316,5.803126201991166,12.012447607221462,7.932240996095667,361.4261363740864,9,8.573974678053666,0.007573974678053666,0.0340828860512415,0.038582886051241494,0.034082886051241504,1.4453893784644818,3.933981243863048,0.6134045280736412,0.06289957815017873,0.1863618696068138
observed,human,estimated,,,1000,f3,1003,136.0663090276632,author_cluster_bootstrap,author,15.896331711740414,108.56189524387985,169.7405162500451,1.2062432804875538,1.886005736111612,39.101123687468565,417.36346875822284,90,1.5118478780851468,0.0005118478780851468,0.023033154513831606,0.0681012557696012,0.023033154513831602,2.3303056400551734,3.61814479019344,1.6066031066060458,0.042388350607304205,0.14384146956070254
observed,human,estimated,,,2000,f1,485,120.66616773777332,author_cluster_bootstrap,author,24.94891480534708,77.45178106370909,174.30652641645435,8.605753451523233,19.367391824050483,13.198514273887975,527.8119555360872,9,13.407351970863703,0.006203675985431851,0.02791654193444333,0.03016654193444333,0.02791654193444333,1.4606228106852748,4.243570025444219,0.5473330319172831,0.055115515006962545,0.22413005504122147
observed,human,estimated,,,2000,f3,485,201.62270017216642,author_cluster_bootstrap,author,27.604351752260563,154.07047176834874,260.8261996239667,1.7118941307594304,2.8980688847107414,55.17601639979274,612.6094765210918,90,2.2402522241351823,0.0006201261120675911,0.027905675043041603,0.05043089048828576,0.02790567504304161,1.5448071840110102,3.690971768695292,1.3671785764633113,0.03688683494349583,0.16003663798005552
observed,human,estimated,,,4000,f1,225,201.4186848211237,author_cluster_bootstrap,author,43.928537881530914,128.15098523317312,295.1029188018483,14.238998359241457,32.78921320020537,22.587910880185895,901.1529225607753,9,22.379853869013743,0.005344963467253436,0.024052335602640463,0.025177335602640467,0.024052335602640463,1.385080757113552,3.718243892626377,0.5711561224971824,0.044081354661071104,0.20579430538669863
observed,human,estimated,,,4000,f3,225,319.9732578450142,author_cluster_bootstrap,author,48.30097963060705,238.4689981019098,424.63119827322083,2.6496555344656643,4.71812442525801,89.73327823772793,983.4348129129075,90,3.5552584205001576,0.0006388146051250394,0.028746657230626773,0.040006658895350614,0.028746657230626783,1.2272360282182846,3.2394916480198033,1.2853354871357197,0.03112546046985963,0.1770607603945839
sweep,two_state_hsmm,estimated,0.25,0.0,1000,f1,250,10.508656480728446,monte_carlo_standard_error,independent_simulation_replicate,0.30182340987036693,9.917082597382526,11.100230364074365,1.1018980663758362,1.233358929341596,3.5037401926319767,20.40012698874551,9,1.1676284978587161,0.00016762849785871613,0.0007543282403642228,0.005254328240364224,0.0007543282403642228,3.1632430528123123,1.0293231957964517,,,
sweep,two_state_hsmm,estimated,0.25,0.0,1000,f3,250,58.11465669180379,monte_carlo_standard_error,independent_simulation_replicate,0.7349319623983709,56.67419004550298,59.55512333810459,0.6297132227278109,0.6617235926456065,39.11127084977723,82.11699963509166,90,0.6457184076867087,-0.00035428159231329126,-0.015942671654098108,0.02908641476066255,-0.015942671654098108,nan,0.35764262616620446,,,
sweep,two_state_hsmm,estimated,0.25,0.0,2000,f1,250,10.57101002663843,monte_carlo_standard_error,independent_simulation_replicate,0.34102905398081457,9.902593080836033,11.239426972440826,1.1002881200928925,1.248825219160092,2.877491623620885,22.654776758223814,9,1.1745566696264922,8.72783348132461e-05,0.00039275250665960735,0.002642752506659607,0.000392752506659607,3.432277772215929,1.3764741898179071,,,
sweep,two_state_hsmm,estimated,0.25,0.0,2000,f3,250,68.75455381285661,monte_carlo_standard_error,independent_simulation_replicate,0.7939156477470465,67.19847914327241,70.31062848244082,0.7466497682585823,0.7812292053604536,47.487118073750175,97.05990572179029,90,0.763939486809518,-0.00011803025659524102,-0.005311361546785846,0.017197237071750027,-0.00531136154678585,nan,0.48560167699484647,,,
sweep,two_state_hsmm,estimated,0.25,0.0,4000,f1,250,11.620437345999337,monte_carlo_standard_error,independent_simulation_replicate,0.3849822984293111,10.865872041077887,12.375002650920786,1.207319115675321,1.375000294546754,4.27084010573304,25.534255192540364,9,1.2911597051110375,7.278992627775938e-05,0.0003275546682499171,0.001452554668249917,0.00032755466824991696,2.322934611930224,1.241824946681804,,,
sweep,two_state_hsmm,estimated,0.25,0.0,4000,f3,250,77.5537835030368,monte_carlo_standard_error,independent_simulation_replicate,0.8739933210293165,75.84075659381934,79.26681041225426,0.8426750732646593,0.8807423379139362,55.31721989178807,106.48051894035117,90,0.8617087055892978,-3.457282360267555e-05,-0.0015557770621204003,0.009696647099654515,-0.0015557770621203997,nan,0.3389224395761523,,,
sweep,two_state_hsmm,estimated,0.25,0.25,1000,f1,250,10.917906895190608,monte_carlo_standard_error,independent_simulation_replicate,0.3494703696882419,10.232944970601654,11.602868819779562,1.136993885622406,1.2892076466421736,3.171219032798125,25.245254019996228,9,1.21310076613229,0.0002131007661322899,0.000958953447595304,0.0054589534475953045,0.0009589534475953037,2.8810635848047297,0.9393245709926958,,,
sweep,two_state_hsmm,estimated,0.25,0.25,1000,f3,250,59.13128645786103,monte_carlo_standard_error,independent_simulation_replicate,0.73488210593158,57.69091753023513,60.57165538548693,0.6410101947803903,0.673018393172077,40.55570262180776,84.89104443209999,90,0.6570142939762337,-0.00034298570602376633,-0.015434356771069484,0.02959523846739791,-0.015434356771069486,nan,0.5871556449603735,,,
sweep,two_state_hsmm,estimated,0.25,0.25,2000,f1,250,10.752878342223742,monte_carlo_standard_error,independent_simulation_replicate,0.3495252155517135,10.067808919742383,11.4379477647051,1.1186454355269315,1.2708830849672335,3.4565590296301214,23.679153407492567,9,1.1947642602470825,9.738213012354124e-05,0.00043821958555593545,0.002688219585555935,0.00043821958555593523,3.152802319990211,0.954513938240383,,,
sweep,two_state_hsmm,estimated,0.25,0.25,2000,f3,250,67.41871985915854,monte_carlo_standard_error,independent_simulation_replicate,0.7982846552305054,65.85408193490676,68.98335778341033,0.731712021498964,0.7664817531490036,46.07255298736406,95.36075289043761,90,0.7490968873239838,-0.00012545155633800808,-0.005645320035210365,0.016863111520549916,-0.005645320035210363,nan,0.6423974356463662,,,
sweep,two_state_hsmm,estimated,0.25,0.25,4000,f1,250,11.59953262218645,monte_carlo_standard_error,independent_simulation_replicate,0.3614943157918525,10.89100376323442,12.30806148113848,1.2101115292482687,1.3675623867931646,3.698767746260135,25.290469518949312,9,1.2888369580207166,7.220923950517916e-05,0.0003249415777733062,0.0014499415777733061,0.00032494157777330634,2.198751785897836,1.0221072699082812,,,
