dwell_scale,seed,fold,author,target_book,chunk_size,chunk_index,replicate,G,excess_delta
8.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,1000,6,0,52.413098595320236,-0.018793450702339884
8.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/3635.txt,2000,2,0,92.19001949535283,0.0005475048738382071
8.0,20260918,4,charlotte_bronte,gutenberg_texts/30486.txt,4000,10,0,83.06537967559895,-0.0008668275405501316
8.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,1000,43,1,239.60313959664262,0.07480156979832131
8.0,20260918,3,oscar_wilde,gutenberg_texts/773.txt,2000,1,1,77.23639679326014,-0.0031909008016849645
8.0,20260918,3,john_c_hutcheson,gutenberg_texts/21108.txt,4000,3,1,104.844939664598,0.0018556174580747502
8.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,1000,13,2,89.22242744426819,-0.00038878627786590413
8.0,20260918,4,charlotte_bronte,gutenberg_texts/30486.txt,2000,14,2,116.57588370376635,0.006643970925941588
8.0,20260918,0,herbert_george_wells,full_books/herbert_george_wells_full.txt,4000,1,2,87.63470959355664,-0.0002956613008054205
8.0,20260918,1,agnes_may_fleming,gutenberg_texts/7063.txt,1000,22,3,69.7988412249049,-0.010100579387547548
8.0,20260918,3,charles_dickens,gutenberg_texts/1400.txt,2000,16,3,88.97704140228157,-0.00025573964942960715
8.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,4000,11,3,108.57642414077652,0.0023220530175970654
8.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,1000,5,4,129.57586236286613,0.019787931181433065
8.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,2000,3,4,146.13958053098415,0.014034895132746037
8.0,20260918,3,oscar_wilde,gutenberg_texts/174.txt,4000,3,4,92.94483102694792,0.00036810387836849046
8.0,20260918,2,louis_joseph_vance,gutenberg_texts/9378.txt,1000,13,5,74.55649208007887,-0.0077217539599605655
8.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,10,5,57.26381849949462,-0.008184045375126346
8.0,20260918,3,john_c_hutcheson,gutenberg_texts/24267.txt,4000,3,5,118.80262088787467,0.0036003276109843334
8.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/28301.txt,1000,14,6,59.58332366394536,-0.015208338168027321
8.0,20260918,1,agnes_may_fleming,gutenberg_texts/7063.txt,2000,3,6,531.7992440978244,0.1104498110244561
8.0,20260918,3,oscar_wilde,gutenberg_texts/773.txt,4000,1,6,137.37529987074663,0.005921912483843329
8.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,1000,6,7,114.80510101881212,0.012402550509406063
8.0,20260918,0,mildred_wirt,gutenberg_texts/34592.txt,2000,3,7,99.50666536426985,0.0023766663410674624
8.0,20260918,1,robert_sidney_bowen,gutenberg_texts/32331.txt,4000,2,7,109.21984305681171,0.002402480382101464
8.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,1000,7,8,113.89557657876725,0.011947788289383624
8.0,20260918,0,joseph_conrad,gutenberg_texts/2021.txt,2000,8,8,114.91663684601924,0.006229159211504811
8.0,20260918,3,oscar_wilde,gutenberg_texts/773.txt,4000,1,8,97.38381245587341,0.0009229765569841764
8.0,20260918,0,joseph_conrad,gutenberg_texts/5658.txt,1000,4,9,103.87712822845603,0.006938564114228015
8.0,20260918,4,arthur_scott_bailey,gutenberg_texts/24589.txt,2000,1,9,181.01180354693903,0.02275295088673476
8.0,20260918,4,charlotte_bronte,gutenberg_texts/1260.txt,4000,4,9,283.20489121045995,0.024150611401307493
8.0,20260918,1,arthur_conan_doyle,gutenberg_texts/244.txt,1000,5,10,59.221007227321564,-0.015389496386339218
8.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,2000,7,10,73.63667491148041,-0.004090831272129897
8.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,4000,1,10,95.72106624540865,0.0007151332806760813
8.0,20260918,3,susan_warner,gutenberg_texts/8874.txt,1000,9,11,129.7368607537369,0.019868430376868446
8.0,20260918,2,jane_austen,gutenberg_texts/161.txt,2000,9,11,104.13026777029927,0.0035325669425748172
8.0,20260918,3,susan_warner,gutenberg_texts/29824.txt,4000,6,11,252.72190742060263,0.02034023842757533
8.0,20260918,4,charlotte_bronte,gutenberg_texts/9182.txt,1000,4,12,64.1627445208315,-0.012918627739584252
8.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,17,12,116.16689245528029,0.0065417231138200724
8.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,4000,4,12,186.55135063209477,0.012068918829011847
8.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,1000,10,13,57.271634899751746,-0.016364182550124128
8.0,20260918,2,jane_austen,full_books/jane_austen_full.txt,2000,11,13,280.3874393851433,0.047596859846285824
8.0,20260918,2,harold_l_goodwin,gutenberg_texts/32059.txt,4000,1,13,198.7401110738893,0.013592513884236162
8.0,20260918,2,louis_joseph_vance,gutenberg_texts/9779.txt,1000,17,14,74.96766943845792,-0.007516165280771041
8.0,20260918,3,charles_dickens,gutenberg_texts/98.txt,2000,12,14,167.36956156765137,0.019342390391912843
8.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,4000,2,14,72.92093160037506,-0.002134883549953118
8.0,20260918,0,kathleen_thompson_norris,gutenberg_texts/4787.txt,1000,27,15,108.48536594358346,0.00924268297179173
8.0,20260918,0,mildred_wirt,gutenberg_texts/35082.txt,2000,2,15,155.09437723319576,0.01627359430829894
8.0,20260918,4,ethel_m_dell,gutenberg_texts/13547.txt,4000,2,15,88.69866654248798,-0.00016266668218900193
8.0,20260918,3,charles_dickens,gutenberg_texts/1400.txt,1000,31,16,100.31945230008785,0.005159726150043923
8.0,20260918,3,charles_dickens,gutenberg_texts/46.txt,2000,3,16,104.80822364572093,0.003702055911430232
8.0,20260918,1,arthur_conan_doyle,gutenberg_texts/1661.txt,4000,4,16,114.04525949839149,0.003005657437298936
8.0,20260918,1,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,1000,14,17,102.01278403531687,0.006006392017658435
8.0,20260918,3,susan_warner,gutenberg_texts/16918.txt,2000,4,17,45.27021971472329,-0.011182445071319177
8.0,20260918,2,jane_austen,gutenberg_texts/1342.txt,4000,4,17,119.48747936522798,0.003685934920653498
