dwell_scale,seed,phi_1000,phi_2000,phi_4000,fixed_intercept_rho,growth_ratio,phi_rmse,phi_1000_seed_min,phi_1000_seed_max,phi_2000_seed_min,phi_2000_seed_max,phi_4000_seed_min,phi_4000_seed_max,fixed_intercept_rho_seed_min,fixed_intercept_rho_seed_max
8.0,20260918,1.1125826657728122,1.4756666602450812,1.596028520378483,0.0001641919079893765,1.0815643961986725,1.235932252162006,,,,,,,,
8.0,20260919,1.116163888476443,1.6052200446490383,1.7654668891703986,0.0002089748349741007,1.0998285842838427,1.1199978294971984,,,,,,,,
8.0,20260920,1.1201546098327506,1.2898989005425532,1.6409788367817804,0.00015542227419261802,1.2721763202461502,1.2544668695902659,,,,,,,,
12.0,20260918,1.3200959154987453,1.562433314445255,1.9877788019427953,0.00025695608343621125,1.2722327305524461,0.992169280597102,,,,,,,,
12.0,20260919,1.3264905227216408,1.5720562341312767,2.087636660539688,0.00027719760157823555,1.327965638387817,0.9371511547511281,,,,,,,,
12.0,20260920,1.3036268735280834,1.5442989559478024,2.1801471470903477,0.0002910863511326228,1.4117390539529946,0.8978934518264025,,,,,,,,
16.0,20260918,1.3416247417885163,1.6898737727333495,2.3908623322601446,0.0003468962674426568,1.4148171128740314,0.7500467999191306,,,,,,,,
16.0,20260919,1.4084976080877145,1.9293665640045337,2.3663034929976092,0.000368211652766058,1.22646651867242,0.7120264488570636,,,,,,,,
16.0,20260920,1.5150807202895855,1.8041258679689773,2.203601311943408,0.0003303684620952939,1.2214232671161387,0.81999869693464,,,,,,,,
20.0,20260918,1.6077656547358603,2.050998329274042,2.426204157321816,0.00040069423536053363,1.1829381441673719,0.6632698761436695,,,,,,,,
20.0,20260919,1.5978512321496847,1.9230606334679992,2.457953392742442,0.0003940850509550215,1.2781465908902887,0.6613333516572636,,,,,,,,
20.0,20260920,1.4979495782233974,1.9948547368688079,2.3339162355785064,0.0003725392378226209,1.1699680144339237,0.7192796911181099,,,,,,,,
24.0,20260918,1.47159925211948,2.025956770848355,2.9292661079534823,0.00048764653455381517,1.4458680215209494,0.3827134997005225,,,,,,,,
24.0,20260919,1.6196817409340665,2.0400352824458996,2.8094980848372626,0.00047322593548451984,1.3771811247640853,0.45013829132995825,,,,,,,,
24.0,20260920,1.65598712286987,2.061686078581156,2.8781280061842804,0.0004900891097509193,1.396006907203349,0.41278226230331305,,,,,,,,
28.0,20260918,1.7389051108817493,2.2716034695541403,3.0759237206514496,0.0005517050920283728,1.354075991640908,0.3067570385139904,,,,,,,,
28.0,20260919,1.6869166173358656,2.465087590247845,2.882977695601218,0.0005309048847731632,1.16952343073187,0.4215690447160841,,,,,,,,
28.0,20260920,1.729374631214499,2.32561048049492,2.803822839263014,0.0005045660452026855,1.2056287425512136,0.45433444106185944,,,,,,,,
32.0,20260918,1.849040627930981,2.3661602868662204,3.1154041494472184,0.0005734751333072522,1.316649665172645,0.3281379641618196,,,,,,,,
32.0,20260919,1.722889449727642,2.4838679159009267,3.392338762840199,0.0006314276348995377,1.365748452694901,0.2085105633518157,,,,,,,,
32.0,20260920,1.6505686230639625,2.207487967734967,3.204343717485624,0.0005658533061179235,1.4515792449702452,0.21867637456350503,,,,,,,,
36.0,20260918,1.8528850610466512,2.457530144673167,3.211374021105184,0.0006006400683244629,1.3067485776587584,0.30647051792022406,,,,,,,,
36.0,20260919,1.8547407030763918,2.332457659073588,3.2447940441313636,0.0005951824856070963,1.391148101449413,0.27231443875094186,,,,,,,,
