dwell_scale,seed,chunk_size,n_observations,mean_G,phi,phi_ci_low,phi_ci_high
8.0,20260918,1000,250,100.1324399195531,1.1125826657728122,1.0271514618566036,1.2009981818555282
8.0,20260918,2000,250,132.8099994220573,1.4756666602450812,1.3366545837517452,1.634402769907795
8.0,20260918,4000,250,143.64256683406347,1.596028520378483,1.4326796659817946,1.794000101928795
8.0,20260919,1000,250,100.45474996287989,1.116163888476443,1.0228443151534783,1.21641618159785
8.0,20260919,2000,250,144.46980401841344,1.6052200446490383,1.436578290200545,1.7834641030499645
8.0,20260919,4000,250,158.89202002533588,1.7654668891703986,1.6118650520684015,1.9312650167512169
8.0,20260920,1000,250,100.81391488494755,1.1201546098327506,1.0275337581020012,1.228245963600042
8.0,20260920,2000,250,116.09090104882978,1.2898989005425532,1.1879833270430054,1.4066615316312412
8.0,20260920,4000,250,147.68809531036024,1.6409788367817804,1.4950670146538105,1.800082540970452
12.0,20260918,1000,250,118.80863239488708,1.3200959154987453,1.200960966454745,1.4474672677134857
12.0,20260918,2000,250,140.61899830007295,1.562433314445255,1.4175930294265224,1.7173698771705208
12.0,20260918,4000,250,178.90009217485158,1.9877788019427953,1.7804345803192503,2.2007380591208476
12.0,20260919,1000,250,119.38414704494767,1.3264905227216408,1.2014960846214717,1.4663019175895473
12.0,20260919,2000,250,141.4850610718149,1.5720562341312767,1.421073733431954,1.7378616290062694
12.0,20260919,4000,250,187.88729944857192,2.087636660539688,1.8268985947584002,2.387204925290701
12.0,20260920,1000,250,117.3264186175275,1.3036268735280834,1.1895466565156205,1.4288053576707171
12.0,20260920,2000,250,138.9869060353022,1.5442989559478024,1.391631088861591,1.7080697780499914
12.0,20260920,4000,250,196.2132432381313,2.1801471470903477,1.905853664711983,2.4937595950630116
16.0,20260918,1000,250,120.74622676096647,1.3416247417885163,1.231591287837593,1.4700961667889878
16.0,20260918,2000,250,152.08863954600145,1.6898737727333495,1.5073399488343342,1.9075563355396954
16.0,20260918,4000,250,215.177609903413,2.3908623322601446,2.1092954151959336,2.7031024550457254
16.0,20260919,1000,250,126.76478472789431,1.4084976080877145,1.2820385203249445,1.5458169681923146
16.0,20260919,2000,250,173.64299076040803,1.9293665640045337,1.703926413878736,2.168953208014403
16.0,20260919,4000,250,212.96731436978482,2.3663034929976092,2.1051933995507435,2.6378715948613336
16.0,20260920,1000,250,136.3572648260627,1.5150807202895855,1.3806312228649578,1.6610428048422123
16.0,20260920,2000,250,162.37132811720795,1.8041258679689773,1.6300431849956447,2.0051237283892114
16.0,20260920,4000,250,198.3241180749067,2.203601311943408,1.9410278724726948,2.50828843989559
20.0,20260918,1000,250,144.69890892622743,1.6077656547358603,1.4663702388035151,1.7624448521803087
20.0,20260918,2000,250,184.58984963466378,2.050998329274042,1.8409804518979453,2.292937862300091
20.0,20260918,4000,250,218.35837415896344,2.426204157321816,2.172399867517405,2.7199792400994145
20.0,20260919,1000,250,143.80661089347163,1.5978512321496847,1.4405749981340865,1.7689773678259446
20.0,20260919,2000,250,173.07545701211993,1.9230606334679992,1.7390618884022486,2.110809156516781
20.0,20260919,4000,250,221.2158053468198,2.457953392742442,2.1709819857354398,2.759713373750967
20.0,20260920,1000,250,134.81546204010576,1.4979495782233974,1.3774438223407457,1.6312218528731683
20.0,20260920,2000,250,179.5369263181927,1.9948547368688079,1.7918249807486615,2.211764304220434
20.0,20260920,4000,250,210.0524612020656,2.3339162355785064,2.0676738285620595,2.606489854233407
24.0,20260918,1000,250,132.4439326907532,1.47159925211948,1.3507170274758713,1.5988162369446792
24.0,20260918,2000,250,182.33610937635194,2.025956770848355,1.8248456162302953,2.237137125159862
24.0,20260918,4000,250,263.6339497158134,2.9292661079534823,2.5672439071610147,3.3149888440285626
24.0,20260919,1000,250,145.77135668406598,1.6196817409340665,1.475406698930223,1.77581840636156
24.0,20260919,2000,250,183.60317542013095,2.0400352824458996,1.8181162405969016,2.2832172194188853
24.0,20260919,4000,250,252.85482763535364,2.8094980848372626,2.451755405502966,3.1637779970355178
24.0,20260920,1000,250,149.03884105828828,1.65598712286987,1.5097665100787057,1.8019163241462695
24.0,20260920,2000,250,185.55174707230407,2.061686078581156,1.846663708371141,2.280300567681062
24.0,20260920,4000,250,259.03152055658524,2.8781280061842804,2.495226034085959,3.3137164577084985
28.0,20260918,1000,250,156.50145997935743,1.7389051108817493,1.5927329279676772,1.8919328393524495
28.0,20260918,2000,250,204.44431225987262,2.2716034695541403,2.007686123666197,2.5783940083412933
28.0,20260918,4000,250,276.83313485863044,3.0759237206514496,2.6592270770624866,3.529713571373465
28.0,20260919,1000,250,151.8224955602279,1.6869166173358656,1.5414776640696413,1.8477014066422717
28.0,20260919,2000,250,221.85788312230602,2.465087590247845,2.1811065811056136,2.750428456055987
28.0,20260919,4000,250,259.4679926041096,2.882977695601218,2.5344971980791122,3.240323784104486
28.0,20260920,1000,250,155.64371680930492,1.729374631214499,1.5825120452109482,1.8854864162543228
28.0,20260920,2000,250,209.3049432445428,2.32561048049492,2.062445159763719,2.599397347176115
28.0,20260920,4000,250,252.34405553367125,2.803822839263014,2.4347951001610233,3.227229850027199
32.0,20260918,1000,250,166.41365651378828,1.849040627930981,1.6945628075621644,2.0204625157879827
32.0,20260918,2000,250,212.95442581795984,2.3661602868662204,2.10256355090513,2.6752859008590573
32.0,20260918,4000,250,280.38637345024966,3.1154041494472184,2.7524712894193124,3.497437980390038
32.0,20260919,1000,250,155.06005047548777,1.722889449727642,1.56062231139233,1.8980889363015876
32.0,20260919,2000,250,223.5481124310834,2.4838679159009267,2.1825296987328255,2.7917464456679477
32.0,20260919,4000,250,305.3104886556179,3.392338762840199,2.978998371146733,3.8374065949586273
32.0,20260920,1000,250,148.55117607575662,1.6505686230639625,1.5024982169941057,1.804648378550137
32.0,20260920,2000,250,198.673917096147,2.207487967734967,1.9380445358360618,2.475666946223547
32.0,20260920,4000,250,288.39093457370615,3.204343717485624,2.8049122740361923,3.653298577065161
36.0,20260918,1000,250,166.7596554941986,1.8528850610466512,1.6761374688514858,2.0255029455103744
36.0,20260918,2000,250,221.17771302058503,2.457530144673167,2.1988553312951162,2.7119327825336526
36.0,20260918,4000,250,289.02366189946656,3.211374021105184,2.772068416426787,3.6632225082101186
36.0,20260919,1000,250,166.92666327687527,1.8547407030763918,1.6810923258590476,2.0495813863373935
36.0,20260919,2000,250,209.9211893166229,2.332457659073588,2.0707398360119766,2.59407833990584
36.0,20260919,4000,250,292.03146397182275,3.2447940441313636,2.736807551135698,3.7828277981636367
36.0,20260920,1000,250,165.2542422637621,1.8361582473751346,1.6650781804226602,2.0168479284805754
36.0,20260920,2000,250,215.4869328608719,2.3942992540096877,2.149981551091893,2.6462091180357894
36.0,20260920,4000,250,278.5267475915597,3.0947416399062186,2.7056476395575104,3.5346345567867212
40.0,20260918,1000,250,172.9064765528059,1.9211830728089545,1.7533146188143245,2.0965220637995357
40.0,20260918,2000,250,228.02337133426312,2.5335930148251458,2.248349982203472,2.825038051342541
40.0,20260918,4000,250,306.26347695233653,3.4029275216926282,2.9952750485596584,3.83366619427977
40.0,20260919,1000,250,185.05317818284348,2.0561464242538166,1.8842371962198496,2.2472712556732586
40.0,20260919,2000,250,228.1289332243209,2.5347659247146765,2.2497795268837404,2.8396589979908766
40.0,20260919,4000,250,305.41432233483306,3.393492470387034,2.912357491886958,3.8877385519519048
40.0,20260920,1000,250,171.1028076624541,1.901142307360601,1.726380688054024,2.0793199959491644
40.0,20260920,2000,250,223.82929152469205,2.486992128052134,2.225556194022724,2.7732306013030055
40.0,20260920,4000,250,304.8051813316077,3.386724237017863,2.9209905838906374,3.9025434386998388
48.0,20260918,1000,250,172.17208644981997,1.9130231827757775,1.735823630523185,2.0948506090314263
48.0,20260918,2000,250,267.01576184707625,2.9668417983008473,2.6318659245415184,3.3156224629062465
48.0,20260918,4000,250,281.8865409123651,3.1320726768040568,2.7099240493066366,3.610694131422656
48.0,20260919,1000,250,171.00584875325987,1.9000649861473318,1.7122286184978357,2.0945893787693013
48.0,20260919,2000,250,227.40428300282852,2.5267142555869837,2.2288506217805266,2.860850582704589
48.0,20260919,4000,250,313.98701558546685,3.488744617616298,3.072424274695358,3.9615357143311947
48.0,20260920,1000,250,184.7487060232553,2.0527634002583923,1.855802952843401,2.248739416875287
48.0,20260920,2000,250,280.33461571655744,3.114829063517305,2.7379804411941158,3.488420811507036
48.0,20260920,4000,250,310.3356881232307,3.448174312480341,2.93265133208174,4.0026200196872805
64.0,20260918,1000,250,199.44391361203338,2.2160434845781487,2.0276359493150644,2.4193976883997346
64.0,20260918,2000,250,269.699222958041,2.996658032867122,2.682305839470153,3.3456451529993205
64.0,20260918,4000,250,402.9090537874099,4.476767264304555,3.9017411226952587,5.142439084946988
64.0,20260919,1000,250,181.6074521246321,2.017860579162579,1.8341723325054153,2.209167693613458
64.0,20260919,2000,250,277.33992507825377,3.0815547230917084,2.765736732738865,3.4077916665270767
64.0,20260919,4000,250,361.82264306369814,4.020251589596646,3.511658689800672,4.544978137272576
64.0,20260920,1000,250,185.63173832279435,2.0625748702532705,1.8819294872111312,2.2634410199780883
64.0,20260920,2000,250,269.1072471296187,2.99008052366243,2.656185904593172,3.336835760491146
64.0,20260920,4000,250,372.1911782637546,4.13545753626394,3.5774485683685517,4.7498374643830825
96.0,20260918,1000,250,224.50835050306748,2.4945372278118607,2.2790601316853745,2.7306725014499396
96.0,20260918,2000,250,333.6564057142464,3.7072933968249595,3.3130657890095954,4.113964028452509
96.0,20260918,4000,250,365.27777389032894,4.058641932114766,3.584972738643638,4.55375917185896
96.0,20260919,1000,250,193.47550612984898,2.149727845887211,1.954039154256719,2.3633180043798823
96.0,20260919,2000,250,318.84146487023787,3.542682943002643,3.143583614183213,3.966692047930527
96.0,20260919,4000,250,477.9757091043493,5.310841212270548,4.649062201295907,6.010606402842791
96.0,20260920,1000,250,195.22907258824048,2.1692119176471163,1.9790706013233972,2.367992636255047
96.0,20260920,2000,250,313.22217493031854,3.4802463881146504,3.0962780305410806,3.889374986844305
96.0,20260920,4000,250,390.12477836124367,4.334719759569374,3.7562370981414572,4.932322469497894
