contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
P3a,two_books N=1000,one_book N=2000,symmetric,random,f3,2000,18,0.019125721697802172,-0.021346369587600066,0.0582555685109391,0.39273834228515625,-0.007702937046439992,-0.0205380158054112,0.0024380613496725136,0.22875213623046875,0.0031248159841950496,-0.00817646434555156,0.016095923979978326,0.8650436401367188,,
P3b,two_books N=2000,one_book N=4000,symmetric,random,f3,2000,17,0.032873771595341966,-0.02637051712798761,0.0871981147273604,0.120208740234375,-0.007813947130188941,-0.017939066791763932,0.0011391807137785144,0.0714111328125,0.005980075708934447,-0.003324440949498765,0.015162115780310194,0.1593780517578125,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,random,f3,2000,20,-0.013413176773748304,-0.05365223647761707,0.019782194703554384,0.8408222198486328,-0.007286783944312541,-0.01711953753389348,0.0010006630177029946,0.4304332733154297,0.0038586219234415645,-0.004617338608109277,0.013842860061914885,0.9854354858398438,,
P3a,two_books N=1000,one_book N=2000,symmetric,random,f3,1000,19,0.017199541951227387,-0.014450223027619908,0.05131315955534999,0.3524589538574219,-0.006671447403174634,-0.01836193779297025,0.0036375814645606404,0.2753410339355469,-0.0008833396527556775,-0.015302182068252982,0.013378417166017722,0.6794281005859375,,
P3b,two_books N=2000,one_book N=4000,symmetric,random,f3,1000,18,0.034962408514120163,-0.01604464867156186,0.08244986083581678,0.16735076904296875,-0.015869928038179253,-0.03420597162627355,-0.0022777628715988144,0.030364990234375,0.013047530966859198,-0.0010948791908540088,0.03210820282238328,0.14151763916015625,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,random,f3,1000,20,-0.013485160076107264,-0.041179558796271505,0.011205525121276157,0.5458755493164062,-0.008286356431513056,-0.017848836590522735,-0.0001814379192143504,0.2773551940917969,0.004863447123677254,-0.0034767550094249706,0.014551555269591832,0.9854354858398438,,
P3a,two_books N=1000,one_book N=2000,symmetric,random,f1,2000,18,0.016912112272506084,-0.02329584200531875,0.058220383788957095,0.522613525390625,-0.0034241331585965246,-0.009737406398855335,0.0015899351325189296,0.30379486083984375,0.0018467619060575234,-0.00408409994332668,0.008757628322251024,0.8650436401367188,,
P3b,two_books N=2000,one_book N=4000,symmetric,random,f1,2000,17,0.03814184807986888,-0.014948632451049697,0.08514527524724974,0.0983734130859375,-0.0034487453328631143,-0.008574544008223406,0.0008824907882921719,0.079681396484375,0.003042731845268276,-0.0016409177664396491,0.007990767398641727,0.120208740234375,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,random,f1,2000,20,-0.006971170379124031,-0.04252044043424147,0.0248089268874705,0.9358520318812181,-0.004434320949303532,-0.009874265391787746,0.00034546452216342933,0.5705966949462891,0.003313058120513526,-0.00157253531797222,0.008779708586779927,0.9272785186767578,,
P3a,two_books N=1000,one_book N=2000,symmetric,random,f1,1000,19,0.018677049258182296,-0.013702479994253247,0.057637137779477814,0.42086289683963596,-0.004453273330729722,-0.010582109801007827,0.0007515797128525481,0.18186569213867188,0.0010341757044702836,-0.004923687827857888,0.007620728283262579,0.7380905151367188,,
P3b,two_books N=2000,one_book N=4000,symmetric,random,f1,1000,18,0.02556767934407296,-0.026295372502084913,0.07115192393280756,0.11870574951171875,-0.006727926624183115,-0.01503912791305825,-4.6232618125151365e-05,0.04827880859375,0.006122208931737981,-0.0009795935414516955,0.014623377149800944,0.0987396240234375,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,symmetric,random,f1,1000,20,-0.012252994101127937,-0.040729803666706005,0.012905314133071022,0.49800872802734375,-0.004667204600767652,-0.010094953636212716,0.00012162321889721859,0.5705966949462891,0.003498509909795592,-0.001514400142892149,0.008949670251376694,0.8983173370361328,,
P3a,two_books N=1000,one_book N=2000,symmetric,middle,f3,2000,18,0.040662691750748305,-0.03152047934870962,0.11111702308365642,0.20654963247148694,-0.003910448170279014,-0.021176170757367167,0.015605074104106978,0.34654998779296875,-0.002349653470174789,-0.025848628443817814,0.016954328075095355,0.522613525390625,,
P3b,two_books N=2000,one_book N=4000,symmetric,middle,f3,2000,17,0.052462023765764955,-0.019601627133395624,0.11963478227324213,0.19610818609418723,-0.00437299726026151,-0.0145118649390856,0.004625503484946727,0.2068939208984375,0.0031591697725217027,-0.006833869329449422,0.013323067025837423,0.7118988037109375,,
