rival_mode,window_policy,feature,test_chunk_size,budget_n,design,reference_marks,predicted_n_eff,n_authors,n_chunk_observations,macro_accuracy,macro_accuracy_ci_low,macro_accuracy_ci_high,macro_kl_true,macro_kl_true_ci_low,macro_kl_true_ci_high,macro_margin,macro_margin_ci_low,macro_margin_ci_high
asymmetric,middle,f1,1000,500,one_book,1000,613.794846112894,20,1003,0.3534381267517483,0.24756651361069257,0.46327976933413156,0.06962493008487343,0.04747940412965338,0.09453814538416064,-0.03791712936593499,-0.061161189078841334,-0.017634505614015777
asymmetric,middle,f1,1000,500,two_books,1000,760.68509896574,20,1003,0.41312406470487045,0.30940749773637927,0.5222683925009549,0.05802912427773292,0.03682538567361086,0.08376306946541354,-0.026321323558794508,-0.05190551484857035,-0.006234540574918891
asymmetric,middle,f1,1000,1000,one_book,2000,885.5757668938548,20,1003,0.40894104332875064,0.302078478474341,0.5236279917522777,0.07203662207526311,0.04209328900378199,0.10849774585906805,-0.04032882135632471,-0.07679471712477362,-0.011525737572886132
asymmetric,middle,f1,1000,1000,two_books,2000,1227.589692225788,20,1003,0.4446778568912391,0.335980997652914,0.5503795367685552,0.054384230731402625,0.034908634066198645,0.07710554209277407,-0.0226764300124642,-0.04528281079409248,-0.00448779019297705
asymmetric,middle,f1,1000,2000,one_book,4000,1137.3861755636717,19,977,0.4260269547042246,0.31706264690615193,0.5395339620300229,0.05638115666314919,0.03792414458910738,0.0793481513360168,-0.022900331787052874,-0.04179567286251564,-0.0070168892150077235
asymmetric,middle,f1,1000,2000,two_books,4000,1771.1515337877097,19,977,0.48488443177446905,0.3536365652242194,0.6122019523834744,0.04776107476701171,0.03063312362664496,0.06776657693509043,-0.014280249890915399,-0.0316870823365875,0.0005898534111140803
asymmetric,middle,f1,1000,4000,one_book,8000,1325.8926754860408,18,959,0.4724513153297156,0.34545985960512204,0.6033769152294732,0.04643158055290429,0.030826642143299977,0.065184026393218,-0.013873303438970995,-0.03061663716256472,0.0006618939458315122
asymmetric,middle,f1,1000,4000,two_books,8000,2274.7723511273434,18,959,0.5327462790950332,0.4010349980810716,0.6586114834811785,0.03864031658128032,0.026707531862080282,0.05316346974791829,-0.006082039467347026,-0.01881548356164834,0.0044426009904925045
asymmetric,middle,f1,2000,500,one_book,1000,613.794846112894,20,485,0.3873891839123669,0.2606818266220415,0.5221206107516564,0.062129697085835045,0.04166549070682867,0.08553168081965778,-0.032820611694384674,-0.05580449938744716,-0.012711447937188198
asymmetric,middle,f1,2000,500,two_books,1000,760.68509896574,20,485,0.43715217236081844,0.31923940603209644,0.5575226636304733,0.05103642837083568,0.0307231187088142,0.07666642372900323,-0.021727342979385323,-0.04741539167588849,-0.0019065430972289993
asymmetric,middle,f1,2000,1000,one_book,2000,885.5757668938548,20,485,0.447414725866906,0.3172095031390899,0.5881064084727251,0.06501851051907967,0.035947778546569664,0.1018775437541907,-0.03570942512762931,-0.07254978637285203,-0.006789084588457205
asymmetric,middle,f1,2000,1000,two_books,2000,1227.589692225788,20,485,0.4952328531294169,0.35195852069375505,0.6385762315475938,0.047058555259524154,0.028646229192343813,0.06903304089751487,-0.017749469868073787,-0.04022051239527996,0.00016367171371899685
