rival_mode,window_policy,budget_n,draw,role,design,author,held_out,books,n_marks,long_start,half_start,short_start
symmetric,random,500,0,rival,one_book,agnes_may_fleming,,gutenberg_texts/15317.txt,1000,4652,4652,447
symmetric,random,500,0,rival,two_books,agnes_may_fleming,,gutenberg_texts/15317.txt;full_books/agnes_may_fleming_full.txt,1000,4652,4652,447
symmetric,random,500,0,rival,one_book,arthur_conan_doyle,,gutenberg_texts/2852.txt,1000,7136,7136,6039
symmetric,random,500,0,rival,two_books,arthur_conan_doyle,,gutenberg_texts/2852.txt;gutenberg_texts/1661.txt,1000,7136,7136,6039
symmetric,random,500,0,rival,one_book,arthur_scott_bailey,,gutenberg_texts/18656.txt,1000,1399,1399,1316
symmetric,random,500,0,rival,two_books,arthur_scott_bailey,,gutenberg_texts/18656.txt;gutenberg_texts/24589.txt,1000,1399,1399,1316
symmetric,random,500,0,rival,one_book,charles_dickens,,gutenberg_texts/1400.txt,1000,21809,21809,16193
symmetric,random,500,0,rival,two_books,charles_dickens,,gutenberg_texts/1400.txt;gutenberg_texts/98.txt,1000,21809,21809,16193
symmetric,random,500,0,rival,one_book,charlotte_bronte,,gutenberg_texts/9182.txt,1000,13280,13280,25725
symmetric,random,500,0,rival,two_books,charlotte_bronte,,gutenberg_texts/9182.txt;gutenberg_texts/30486.txt,1000,13280,13280,25725
symmetric,random,500,0,rival,one_book,ethel_m_dell,,gutenberg_texts/13547.txt,1000,10030,10030,19291
symmetric,random,500,0,rival,two_books,ethel_m_dell,,gutenberg_texts/13547.txt;gutenberg_texts/13960.txt,1000,10030,10030,19291
symmetric,random,500,0,rival,one_book,harold_l_goodwin,,gutenberg_texts/32059.txt,1000,876,876,5389
symmetric,random,500,0,rival,two_books,harold_l_goodwin,,gutenberg_texts/32059.txt;gutenberg_texts/31589.txt,1000,876,876,5389
symmetric,random,500,0,rival,one_book,herbert_george_wells,,gutenberg_texts/36.txt,1000,457,457,25
symmetric,random,500,0,rival,two_books,herbert_george_wells,,gutenberg_texts/36.txt;gutenberg_texts/35.txt,1000,457,457,25
symmetric,random,500,0,rival,one_book,jane_austen,,gutenberg_texts/1342.txt,1000,8838,8838,82
symmetric,random,500,0,rival,two_books,jane_austen,,gutenberg_texts/1342.txt;gutenberg_texts/161.txt,1000,8838,8838,82
symmetric,random,500,0,rival,one_book,john_c_hutcheson,,gutenberg_texts/21107.txt,1000,6020,6020,945
symmetric,random,500,0,rival,two_books,john_c_hutcheson,,gutenberg_texts/21107.txt;gutenberg_texts/24267.txt,1000,6020,6020,945
symmetric,random,500,0,rival,one_book,joseph_conrad,,gutenberg_texts/5658.txt,1000,3005,3005,5109
symmetric,random,500,0,rival,two_books,joseph_conrad,,gutenberg_texts/5658.txt;gutenberg_texts/219.txt,1000,3005,3005,5109
symmetric,random,500,0,rival,one_book,kathleen_thompson_norris,,gutenberg_texts/4787.txt,1000,27590,27590,14195
symmetric,random,500,0,rival,two_books,kathleen_thompson_norris,,gutenberg_texts/4787.txt;gutenberg_texts/28301.txt,1000,27590,27590,14195
symmetric,random,500,0,rival,one_book,louis_joseph_vance,,gutenberg_texts/9378.txt,1000,5490,5490,10833
symmetric,random,500,0,rival,two_books,louis_joseph_vance,,gutenberg_texts/9378.txt;gutenberg_texts/9779.txt,1000,5490,5490,10833
symmetric,random,500,0,rival,one_book,luis_senarens,,gutenberg_texts/54648.txt,1000,4363,4363,3913
symmetric,random,500,0,rival,two_books,luis_senarens,,gutenberg_texts/54648.txt;gutenberg_texts/54629.txt,1000,4363,4363,3913
symmetric,random,500,0,rival,one_book,mark_twain,,gutenberg_texts/86.txt,1000,17859,17859,9173
symmetric,random,500,0,rival,two_books,mark_twain,,gutenberg_texts/86.txt;gutenberg_texts/76.txt,1000,17859,17859,9173
symmetric,random,500,0,rival,one_book,mary_shelley,,gutenberg_texts/15238.txt,1000,3214,3214,3843
symmetric,random,500,0,rival,two_books,mary_shelley,,gutenberg_texts/15238.txt;gutenberg_texts/84.txt,1000,3214,3214,3843
symmetric,random,500,0,rival,one_book,mildred_wirt,,gutenberg_texts/34832.txt,1000,5692,5692,9082
symmetric,random,500,0,rival,two_books,mildred_wirt,,gutenberg_texts/34832.txt;gutenberg_texts/34592.txt,1000,5692,5692,9082
symmetric,random,500,0,rival,one_book,oscar_wilde,,gutenberg_texts/174.txt,1000,12947,12947,1115
symmetric,random,500,0,rival,two_books,oscar_wilde,,gutenberg_texts/174.txt;gutenberg_texts/14522.txt,1000,12947,12947,1115
symmetric,random,500,0,rival,one_book,robert_sidney_bowen,,gutenberg_texts/32331.txt,1000,2618,2618,7681
symmetric,random,500,0,rival,two_books,robert_sidney_bowen,,gutenberg_texts/32331.txt;gutenberg_texts/32542.txt,1000,2618,2618,7681
symmetric,random,500,0,rival,one_book,susan_warner,,gutenberg_texts/16918.txt,1000,35945,35945,42979
symmetric,random,500,0,rival,two_books,susan_warner,,gutenberg_texts/16918.txt;gutenberg_texts/8874.txt,1000,35945,35945,42979
symmetric,random,500,0,target,one_book,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,gutenberg_texts/7063.txt,1000,18673,18673,6456
symmetric,random,500,0,target,two_books,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,1000,18673,18673,6456
symmetric,random,500,0,target,one_book,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,gutenberg_texts/15317.txt,1000,2953,2953,5395
symmetric,random,500,0,target,two_books,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,gutenberg_texts/15317.txt;gutenberg_texts/7063.txt,1000,2953,2953,5395
symmetric,random,500,0,target,one_book,agnes_may_fleming,gutenberg_texts/7063.txt,full_books/agnes_may_fleming_full.txt,1000,3169,3169,17647
symmetric,random,500,0,target,two_books,agnes_may_fleming,gutenberg_texts/7063.txt,full_books/agnes_may_fleming_full.txt;gutenberg_texts/15317.txt,1000,3169,3169,17647
symmetric,random,500,0,target,one_book,agnes_may_fleming,gutenberg_texts/7063.txt,gutenberg_texts/15317.txt,1000,8320,8320,16102
symmetric,random,500,0,target,two_books,agnes_may_fleming,gutenberg_texts/7063.txt,gutenberg_texts/15317.txt;full_books/agnes_may_fleming_full.txt,1000,8320,8320,16102
symmetric,random,500,0,target,one_book,agnes_may_fleming,gutenberg_texts/15317.txt,full_books/agnes_may_fleming_full.txt,1000,4845,4845,26157
symmetric,random,500,0,target,two_books,agnes_may_fleming,gutenberg_texts/15317.txt,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt,1000,4845,4845,26157
symmetric,random,500,0,target,one_book,agnes_may_fleming,gutenberg_texts/15317.txt,gutenberg_texts/7063.txt,1000,7654,7654,3813
symmetric,random,500,0,target,two_books,agnes_may_fleming,gutenberg_texts/15317.txt,gutenberg_texts/7063.txt;full_books/agnes_may_fleming_full.txt,1000,7654,7654,3813
symmetric,random,500,0,target,one_book,arthur_conan_doyle,gutenberg_texts/1661.txt,gutenberg_texts/244.txt,1000,274,274,1709
symmetric,random,500,0,target,two_books,arthur_conan_doyle,gutenberg_texts/1661.txt,gutenberg_texts/244.txt;gutenberg_texts/2852.txt,1000,274,274,1709
symmetric,random,500,0,target,one_book,arthur_conan_doyle,gutenberg_texts/1661.txt,gutenberg_texts/2852.txt,1000,5845,5845,3449
symmetric,random,500,0,target,two_books,arthur_conan_doyle,gutenberg_texts/1661.txt,gutenberg_texts/2852.txt;gutenberg_texts/244.txt,1000,5845,5845,3449
symmetric,random,500,0,target,one_book,arthur_conan_doyle,gutenberg_texts/244.txt,gutenberg_texts/1661.txt,1000,5799,5799,2416
symmetric,random,500,0,target,two_books,arthur_conan_doyle,gutenberg_texts/244.txt,gutenberg_texts/1661.txt;gutenberg_texts/2852.txt,1000,5799,5799,2416
symmetric,random,500,0,target,one_book,arthur_conan_doyle,gutenberg_texts/244.txt,gutenberg_texts/2852.txt,1000,1503,1503,596
symmetric,random,500,0,target,two_books,arthur_conan_doyle,gutenberg_texts/244.txt,gutenberg_texts/2852.txt;gutenberg_texts/1661.txt,1000,1503,1503,596
symmetric,random,500,0,target,one_book,arthur_conan_doyle,gutenberg_texts/2852.txt,gutenberg_texts/1661.txt,1000,130,130,1593
symmetric,random,500,0,target,two_books,arthur_conan_doyle,gutenberg_texts/2852.txt,gutenberg_texts/1661.txt;gutenberg_texts/244.txt,1000,130,130,1593
symmetric,random,500,0,target,one_book,arthur_conan_doyle,gutenberg_texts/2852.txt,gutenberg_texts/244.txt,1000,2856,2856,16390
symmetric,random,500,0,target,two_books,arthur_conan_doyle,gutenberg_texts/2852.txt,gutenberg_texts/244.txt;gutenberg_texts/1661.txt,1000,2856,2856,16390
symmetric,random,500,0,target,one_book,arthur_scott_bailey,gutenberg_texts/9462.txt,gutenberg_texts/18656.txt,1000,1307,1307,849
symmetric,random,500,0,target,two_books,arthur_scott_bailey,gutenberg_texts/9462.txt,gutenberg_texts/18656.txt;gutenberg_texts/24589.txt,1000,1307,1307,849
symmetric,random,500,0,target,one_book,arthur_scott_bailey,gutenberg_texts/9462.txt,gutenberg_texts/24589.txt,1000,1636,1636,1106
symmetric,random,500,0,target,two_books,arthur_scott_bailey,gutenberg_texts/9462.txt,gutenberg_texts/24589.txt;gutenberg_texts/18656.txt,1000,1636,1636,1106
symmetric,random,500,0,target,one_book,arthur_scott_bailey,gutenberg_texts/18656.txt,gutenberg_texts/9462.txt,1000,51,51,1381
symmetric,random,500,0,target,two_books,arthur_scott_bailey,gutenberg_texts/18656.txt,gutenberg_texts/9462.txt;gutenberg_texts/24589.txt,1000,51,51,1381
symmetric,random,500,0,target,one_book,arthur_scott_bailey,gutenberg_texts/18656.txt,gutenberg_texts/24589.txt,1000,855,855,997
symmetric,random,500,0,target,two_books,arthur_scott_bailey,gutenberg_texts/18656.txt,gutenberg_texts/24589.txt;gutenberg_texts/9462.txt,1000,855,855,997
symmetric,random,500,0,target,one_book,arthur_scott_bailey,gutenberg_texts/24589.txt,gutenberg_texts/9462.txt,1000,470,470,1612
symmetric,random,500,0,target,two_books,arthur_scott_bailey,gutenberg_texts/24589.txt,gutenberg_texts/9462.txt;gutenberg_texts/18656.txt,1000,470,470,1612
symmetric,random,500,0,target,one_book,arthur_scott_bailey,gutenberg_texts/24589.txt,gutenberg_texts/18656.txt,1000,1814,1814,896
symmetric,random,500,0,target,two_books,arthur_scott_bailey,gutenberg_texts/24589.txt,gutenberg_texts/18656.txt;gutenberg_texts/9462.txt,1000,1814,1814,896
symmetric,random,500,0,target,one_book,charles_dickens,gutenberg_texts/46.txt,gutenberg_texts/98.txt,1000,18755,18755,22845
symmetric,random,500,0,target,two_books,charles_dickens,gutenberg_texts/46.txt,gutenberg_texts/98.txt;gutenberg_texts/1400.txt,1000,18755,18755,22845
symmetric,random,500,0,target,one_book,charles_dickens,gutenberg_texts/46.txt,gutenberg_texts/1400.txt,1000,8469,8469,14223
symmetric,random,500,0,target,two_books,charles_dickens,gutenberg_texts/46.txt,gutenberg_texts/1400.txt;gutenberg_texts/98.txt,1000,8469,8469,14223
symmetric,random,500,0,target,one_book,charles_dickens,gutenberg_texts/98.txt,gutenberg_texts/46.txt,1000,4525,4525,24471
symmetric,random,500,0,target,two_books,charles_dickens,gutenberg_texts/98.txt,gutenberg_texts/46.txt;gutenberg_texts/1400.txt,1000,4525,4525,24471
symmetric,random,500,0,target,one_book,charles_dickens,gutenberg_texts/98.txt,gutenberg_texts/1400.txt,1000,8732,8732,3402
symmetric,random,500,0,target,two_books,charles_dickens,gutenberg_texts/98.txt,gutenberg_texts/1400.txt;gutenberg_texts/46.txt,1000,8732,8732,3402
symmetric,random,500,0,target,one_book,charles_dickens,gutenberg_texts/1400.txt,gutenberg_texts/46.txt,1000,3615,3615,19329
symmetric,random,500,0,target,two_books,charles_dickens,gutenberg_texts/1400.txt,gutenberg_texts/46.txt;gutenberg_texts/98.txt,1000,3615,3615,19329
symmetric,random,500,0,target,one_book,charles_dickens,gutenberg_texts/1400.txt,gutenberg_texts/98.txt,1000,26931,26931,4323
symmetric,random,500,0,target,two_books,charles_dickens,gutenberg_texts/1400.txt,gutenberg_texts/98.txt;gutenberg_texts/46.txt,1000,26931,26931,4323
symmetric,random,500,0,target,one_book,charlotte_bronte,gutenberg_texts/1260.txt,gutenberg_texts/30486.txt,1000,10742,10742,36961
symmetric,random,500,0,target,two_books,charlotte_bronte,gutenberg_texts/1260.txt,gutenberg_texts/30486.txt;gutenberg_texts/9182.txt,1000,10742,10742,36961
symmetric,random,500,0,target,one_book,charlotte_bronte,gutenberg_texts/1260.txt,gutenberg_texts/9182.txt,1000,1028,1028,33577
symmetric,random,500,0,target,two_books,charlotte_bronte,gutenberg_texts/1260.txt,gutenberg_texts/9182.txt;gutenberg_texts/30486.txt,1000,1028,1028,33577
symmetric,random,500,0,target,one_book,charlotte_bronte,gutenberg_texts/30486.txt,gutenberg_texts/1260.txt,1000,2292,2292,17214
symmetric,random,500,0,target,two_books,charlotte_bronte,gutenberg_texts/30486.txt,gutenberg_texts/1260.txt;gutenberg_texts/9182.txt,1000,2292,2292,17214
symmetric,random,500,0,target,one_book,charlotte_bronte,gutenberg_texts/30486.txt,gutenberg_texts/9182.txt,1000,12629,12629,10174
symmetric,random,500,0,target,two_books,charlotte_bronte,gutenberg_texts/30486.txt,gutenberg_texts/9182.txt;gutenberg_texts/1260.txt,1000,12629,12629,10174
symmetric,random,500,0,target,one_book,charlotte_bronte,gutenberg_texts/9182.txt,gutenberg_texts/1260.txt,1000,5472,5472,26305
symmetric,random,500,0,target,two_books,charlotte_bronte,gutenberg_texts/9182.txt,gutenberg_texts/1260.txt;gutenberg_texts/30486.txt,1000,5472,5472,26305
symmetric,random,500,0,target,one_book,charlotte_bronte,gutenberg_texts/9182.txt,gutenberg_texts/30486.txt,1000,34248,34248,7937
symmetric,random,500,0,target,two_books,charlotte_bronte,gutenberg_texts/9182.txt,gutenberg_texts/30486.txt;gutenberg_texts/1260.txt,1000,34248,34248,7937
symmetric,random,500,0,target,one_book,ethel_m_dell,gutenberg_texts/12360.txt,gutenberg_texts/13960.txt,1000,5392,5392,1568
symmetric,random,500,0,target,two_books,ethel_m_dell,gutenberg_texts/12360.txt,gutenberg_texts/13960.txt;gutenberg_texts/13547.txt,1000,5392,5392,1568
symmetric,random,500,0,target,one_book,ethel_m_dell,gutenberg_texts/12360.txt,gutenberg_texts/13547.txt,1000,1926,1926,3200
symmetric,random,500,0,target,two_books,ethel_m_dell,gutenberg_texts/12360.txt,gutenberg_texts/13547.txt;gutenberg_texts/13960.txt,1000,1926,1926,3200
symmetric,random,500,0,target,one_book,ethel_m_dell,gutenberg_texts/13960.txt,gutenberg_texts/12360.txt,1000,10034,10034,24806
symmetric,random,500,0,target,two_books,ethel_m_dell,gutenberg_texts/13960.txt,gutenberg_texts/12360.txt;gutenberg_texts/13547.txt,1000,10034,10034,24806
symmetric,random,500,0,target,one_book,ethel_m_dell,gutenberg_texts/13960.txt,gutenberg_texts/13547.txt,1000,11607,11607,17999
symmetric,random,500,0,target,two_books,ethel_m_dell,gutenberg_texts/13960.txt,gutenberg_texts/13547.txt;gutenberg_texts/12360.txt,1000,11607,11607,17999
