row_type,condition,author_set,feature,window_size,window_index,n_runs,n_authors,mean_target_kl,median_target_kl,mean_target_margin,mean_target_rank,target_hit_rate,prediction_entropy_normalized,most_predicted_author,most_predicted_share,cross_target_mean_sym_kl,n_cross_target_pairs,first_window,last_window,mean_delta_target_kl,mean_delta_target_margin,mean_delta_target_rank,target_hit_change_percentage_points,mean_per_window_slope_target_kl,mean_per_window_slope_target_margin,prediction_entropy_change,cross_target_sym_kl_change_pct,first_most_predicted_author,first_most_predicted_share,last_most_predicted_author,last_most_predicted_share,author_wilcoxon_p_target_kl_increase,author_wilcoxon_p_target_margin_decrease,author_wilcoxon_p_target_rank_worsen,author_wilcoxon_p_target_hit_decrease
position,flash,all_authors,f1,1000,1,200,10,0.12227921591214397,0.1040134707348738,-0.05472846447035479,5.72,0.145,0.7173794058299953,oscar_wilde,0.36,0.08030975184498278,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,2,200,10,0.1271329933104543,0.1163444145486259,-0.0620130119695235,5.48,0.16,0.6798508644434931,oscar_wilde,0.375,0.07541717949586119,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,3,200,10,0.13135919788490363,0.1212785311975982,-0.06519340110728462,5.605,0.17,0.6589238466377564,oscar_wilde,0.365,0.08736353111310272,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,4,200,10,0.1253050066305878,0.11001186834583793,-0.06233829018390795,5.505,0.165,0.6664741892038907,oscar_wilde,0.415,0.07466686313980023,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f1,1000,5,200,10,0.13058566391950183,0.11177963640758717,-0.06625275925317568,5.655,0.12,0.7064755063706929,oscar_wilde,0.33,0.08284906290652302,18000,,,,,,,,,,,,,,,,,,
first_vs_last,flash,all_authors,f1,1000,,200,10,,,,,,,,,,,1,5,0.00830644800735788,-0.011524294782820904,-0.065,-2.5,0.001478490933484923,-0.0023373867780026236,-0.010903899459302369,3.1618962868192213,oscar_wilde,0.36,oscar_wilde,0.33,0.2783203125,0.1611328125,0.6064453125,0.375
position,flash,all_authors,f3,1000,1,200,10,0.24188327483589034,0.21975424901437804,-0.09793743648688757,5.86,0.175,0.7534784563940556,mary_shelley,0.305,0.16856503350841065,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f3,1000,2,200,10,0.23583135411727996,0.20586479382539005,-0.09675967952379341,5.59,0.185,0.7359502751738211,mary_shelley,0.345,0.1643594593086265,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f3,1000,3,200,10,0.24724146648698325,0.22407910000702175,-0.1040244826491607,5.7,0.205,0.7521727267906775,mary_shelley,0.335,0.18711060134798913,18000,,,,,,,,,,,,,,,,,,
position,flash,all_authors,f3,1000,4,200,10,0.24168978628940618,0.2231276120411912,-0.10091905825560382,5.78,0.16,0.7088221640165234,mary_shelley,0.32,0.17211847833237687,18000,,,,,,,,,,,,,,,,,,
