chunk_size,feature,group,n_pairs,mean_sym_kl,median_sym_kl,ratio_to_human_same_book,ratio_to_human_across_book
1000,f1,human_same_book,5046,0.03897710637039862,0.026828057706677507,1.0,0.4409602395934853
1000,f1,human_across_book,5223,0.0883914304979765,0.05981763687658783,2.2677781582345955,1.0
1000,f1,llm_flash_run_pairs,1900,0.060306951500317195,0.035523095320546975,1.5472403448121959,0.6822714731570927
1000,f1,llm_pro_run_pairs,450,0.06119531894039361,0.021753566842767413,1.5700323764123427,0.6923218528723157
1000,f3,human_same_book,5046,0.0980198426756625,0.07765737519041485,1.0,0.5665534058335356
1000,f3,human_across_book,5223,0.17301077297638315,0.14766273685201808,1.765058668262281,1.0
1000,f3,llm_flash_run_pairs,1900,0.129398041054579,0.08142621478444499,1.3201208808582128,0.7479189811621875
1000,f3,llm_pro_run_pairs,450,0.10942652633949507,0.05457953843113633,1.116371168861963,0.6324838878931103
2000,f1,human_same_book,1146,0.023972950498496317,0.016839647960997864,1.0,0.3089000331598882
2000,f1,human_across_book,1238,0.0776074714310173,0.04510211077999374,3.237293275013652,1.0
2000,f1,llm_flash_run_pairs,1900,0.05285845199099833,0.031880275432810495,2.20492058306773,0.6811000412245418
2000,f1,llm_pro_run_pairs,450,0.05031978945325608,0.018646531405963375,2.0990236248313425,0.6483884673137904
2000,f3,human_same_book,1146,0.06301461438428284,0.050088736892202904,1.0,0.40360542389853316
2000,f3,human_across_book,1238,0.1561292555873203,0.1218579024302939,2.477667396886621,1.0
2000,f3,llm_flash_run_pairs,1900,0.11677336148741604,0.07557202468659924,1.8531155451542645,0.7479274851349483
2000,f3,llm_pro_run_pairs,450,0.09740198598859454,0.044600516533026074,1.545704705810096,0.6238548030104413
4000,f1,human_same_book,234,0.014757808190067523,0.011012684616869352,1.0,0.19546047425717086
4000,f1,human_across_book,270,0.07550277490194979,0.04246863411160838,5.116123880290406,1.0
4000,f1,llm_flash_run_pairs,1900,0.04407061372287205,0.024973487643153172,2.9862573869562135,0.5836952851084413
4000,f1,llm_pro_run_pairs,450,0.040254843358365384,0.018114393628715145,2.727697964353418,0.5331571377428387
4000,f3,human_same_book,234,0.0407842174592688,0.033996051713327285,1.0,0.24793398319758753
4000,f3,human_across_book,270,0.16449627813532278,0.11605196466562365,4.033331724449665,1.0
4000,f3,llm_flash_run_pairs,1900,0.10164810915004373,0.0626252359467693,2.492339328358076,0.6179356171598178
4000,f3,llm_pro_run_pairs,450,0.08659458077583151,0.04427293755438694,2.123237521041406,0.5264227358663673
